REGIAO:;NE
UF:;BA
ESTACAO:;QUEIMADAS
CODIGO (WMO):;A436
LATITUDE:;-10,98472221
LONGITUDE:;-39,61694443
ALTITUDE:;310,11
DATA DE FUNDACAO:;23/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;976,5;976,5;975,9;;25,6;20,4;26,5;25,6;20,5;18,4;73;62;73;143;1,4;,6;
2022/01/01;0100 UTC;0;976,9;976,9;976,5;;24,6;20,5;25,6;24,5;21,3;20,2;79;73;78;112;3,8;1,4;
2022/01/01;0200 UTC;0;976,8;976,9;976,8;;24;20,6;24,6;24;20,6;20,3;81;77;81;107;3;1,3;
2022/01/01;0300 UTC;0;976,5;976,8;976,5;;23,9;20,2;24,2;23,8;20,7;20,2;81;79;80;88;5,1;2,9;
2022/01/01;0400 UTC;0;976,1;976,5;976,1;;23,4;20,1;23,9;23,3;20,2;20,1;82;79;82;91;5,3;3,1;
2022/01/01;0500 UTC;0;975,7;976,1;975,7;;22,8;20,1;23,4;22,8;20,1;20;85;82;85;96;6,3;3;
2022/01/01;0600 UTC;0;975,8;975,9;975,7;;22,5;20,2;22,9;22,5;20,2;20,1;87;84;86;109;5;2,5;
2022/01/01;0700 UTC;0;976;976;975,8;;22,2;20,2;22,5;22,2;20,2;20,1;88;87;88;109;3,8;1,3;
2022/01/01;0800 UTC;0;976,6;976,6;976;;22;20,2;22,2;22;20,2;20,2;90;88;90;116;2,7;1,2;
2022/01/01;0900 UTC;0;977,2;977,2;976,6;79,4;22,5;20,5;22,5;21,9;20,6;20,2;90;88;88;119;3,3;2,1;
2022/01/01;1000 UTC;0;977,9;977,9;977,2;545,8;23,7;20,6;23,9;22,5;21,2;20,4;89;83;83;91;5,1;3,4;
2022/01/01;1100 UTC;0;978,6;978,6;977,9;563,3;24,7;20,6;24,7;23,7;21,1;20,5;83;78;78;89;5,1;2,8;
2022/01/01;1200 UTC;0;978,7;978,9;978,6;1163,9;26,3;20,8;26,3;24,6;21,3;20,3;79;71;72;64;6,4;3,1;
2022/01/01;1300 UTC;0;978,8;978,8;978,7;1596,1;26,9;20,6;27,8;26,2;21,2;20,1;72;65;69;103;6,7;2,7;
2022/01/01;1400 UTC;0;978,2;978,8;978,2;1746,3;28,5;20,6;28,5;26,5;21,1;19,7;70;61;63;71;5,3;2,4;
2022/01/01;1500 UTC;0;977,5;978,2;977,5;2557,9;29,3;19,7;30,5;28,2;21,4;18,7;64;53;56;88;6,1;2,4;
2022/01/01;1600 UTC;0;976,7;977,5;976,7;2532,3;30,1;19,5;30,8;28,6;21,9;19;63;52;53;137;6,3;3,4;
2022/01/01;1700 UTC;0;975,7;976,7;975,7;2640,4;30,5;20;31,2;29,5;21,1;18,9;58;50;54;135;6,5;2,8;
2022/01/01;1800 UTC;0;974,6;975,7;974,6;2687,8;30,9;20,1;31,3;29,7;20,6;18,7;56;50;53;111;5,8;2,9;
2022/01/01;1900 UTC;0;974,1;974,6;974,1;2037,8;30,8;18,9;31,3;30,5;20,5;18,5;53;47;49;120;6;3;
2022/01/01;2000 UTC;0;974,3;974,3;974,1;1122,8;29,6;19,7;31,2;29,1;20;18,9;57;49;55;127;7,3;2,7;
2022/01/01;2100 UTC;0;974,9;974,9;974,3;219,5;27,1;20;29,6;27,1;20,2;19;65;54;65;145;5,8;1,8;
