REGIAO:;NE
UF:;BA
ESTACAO:;ITAPETINGA
CODIGO (WMO):;A446
LATITUDE:;-15,24472221
LONGITUDE:;-40,22944443
ALTITUDE:;271,48
DATA DE FUNDACAO:;25/06/09
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;981,4;981,4;980,5;;24,1;21;24,9;24,1;21,2;20,9;83;80;83;66;5,6;3;
2022/01/01;0100 UTC;0;981,9;981,9;981,4;;23,3;20,8;24,1;23,3;21;20,8;86;83;86;60;5;1,8;
2022/01/01;0200 UTC;0;981,8;982,1;981,8;;22,8;20,8;23,3;22,7;20,9;20,7;89;86;88;66;3,9;2,1;
2022/01/01;0300 UTC;0;981,1;981,8;981,1;;22;20,2;22,9;22;20,7;20,2;89;87;89;110;3,4;,7;
2022/01/01;0400 UTC;0;980,8;981,1;980,8;;21,6;20;22,2;21,6;20,4;19,9;90;89;90;179;3,4;,5;
2022/01/01;0500 UTC;0;980,5;980,8;980,4;;21,8;19,8;21,9;21,5;20,3;19,8;92;89;89;90;2,5;1,1;
2022/01/01;0600 UTC;0;980,5;980,5;980,4;;21,2;19,8;21,8;21,1;20,1;19,6;92;89;92;38;2,1;,4;
2022/01/01;0700 UTC;0;980,9;980,9;980,5;;20,7;19,8;21,3;20,7;20,1;19,8;95;92;95;18;1,1;,7;
2022/01/01;0800 UTC;0;981,2;981,2;980,8;;20,7;19,8;21,1;20,7;20,2;19,7;95;94;95;107;1,6;,6;
2022/01/01;0900 UTC;0;981,8;981,8;981,2;83,2;20,6;19,9;20,8;20,3;20,1;19,5;96;95;96;357;1;,4;
2022/01/01;1000 UTC;0;982,2;982,2;981,8;806,6;23,9;21,1;24;20,6;21,7;19,9;96;84;85;308;1,3;,4;
2022/01/01;1100 UTC;0;982,8;982,8;982,2;1697,8;25,6;20,2;25,9;23,8;21,4;20,1;85;72;72;313;2,1;1,1;
2022/01/01;1200 UTC;0;983;983,1;982,8;1974,7;27,1;20,1;28,4;25,4;21,4;19,3;73;61;66;343;4;1,9;
2022/01/01;1300 UTC;0;982,6;983;982,6;2885,1;28,5;20,2;28,6;26,5;20,8;19,1;66;59;61;60;7,9;4,1;
2022/01/01;1400 UTC;0;982,1;982,7;982,1;3459,1;29,7;20;30,1;28,4;20,9;19,5;62;55;56;54;7,1;3,2;
2022/01/01;1500 UTC;0;981,4;982,1;981,3;3976,5;30,4;19,5;30,8;29,6;21;19,2;59;52;52;67;7,7;4,5;
