REGIAO:;NE
UF:;BA
ESTACAO:;SALVADOR (RADIO FAROL)
CODIGO (WMO):;A456
LATITUDE:;-12,80833333
LONGITUDE:;-38,49583333
ALTITUDE:;31
DATA DE FUNDACAO:;10/03/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;1007,8;1007,8;1007,1;;25,1;23,3;25,4;25,1;23,3;23,1;89;87;89;;;;
2022/01/01;0100 UTC;0;1008,1;1008,2;1007,8;;24,8;23,3;25,2;24,8;23,4;23,2;91;89;91;;;;
2022/01/01;0200 UTC;0;1007,8;1008,1;1007,8;;24,5;23,8;24,9;24,5;23,9;23,3;96;91;96;;;;
2022/01/01;0300 UTC;0;1007,5;1007,8;1007,4;;24,4;23,8;24,5;24,3;24,1;23,7;98;95;96;;;;
2022/01/01;0400 UTC;0;1007;1007,5;1007;;24;23,7;24,4;23,9;23,8;23,6;99;96;98;;;;
2022/01/01;0500 UTC;0;1006,9;1007;1006,9;;24,1;23,3;24,2;23,9;23,7;23,3;98;95;95;;;;
2022/01/01;0600 UTC;0;1006,9;1006,9;1006,7;;23,6;23,6;24,1;23,6;23,7;23,3;100;95;100;;;;
2022/01/01;0700 UTC;0;1006,9;1007;1006,8;;23,6;23,6;23,6;23,5;23,6;23,5;100;99;99;;;;
2022/01/01;0800 UTC;0;1007,2;1007,3;1006,9;;23,6;23,6;23,7;23,5;23,6;23,5;100;99;100;;;;
2022/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
