REGIAO:;NE
UF:;BA
ESTACAO:;RIBEIRA DO AMPARO
CODIGO (WMO):;A458
LATITUDE:;-11,05861111
LONGITUDE:;-38,44416666
ALTITUDE:;182
DATA DE FUNDACAO:;20/09/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;991,3;991,3;990,4;;25,6;20,1;25,9;25,6;20,2;20;72;70;72;182;7,7;1,2;
2022/01/01;0100 UTC;0;991,6;991,7;991,3;;24,8;19,8;25,6;24,7;20,2;19,7;74;72;74;138;5,2;,7;
2022/01/01;0200 UTC;0;991,3;991,6;991,3;;23,9;19,8;24,8;23,9;20,1;19,6;78;74;78;86;5,1;,5;
2022/01/01;0300 UTC;0;991,3;991,3;991,2;;23,6;20,1;23,9;23,5;20,2;19,6;81;78;81;88;2,3;,1;
2022/01/01;0400 UTC;0;990,9;991,3;990,8;;23,1;20,1;23,6;22,9;20,2;19,9;83;81;83;92;2;0;
2022/01/01;0500 UTC;0;990,5;990,9;990,4;;22,4;19,9;23,2;22,4;20,3;19,8;86;83;86;106;2;,8;
2022/01/01;0600 UTC;0;990,4;990,5;990,2;;22,2;20,1;22,4;22,2;20,1;19,9;88;86;88;96;1,8;,3;
2022/01/01;0700 UTC;0;990,5;990,5;990,3;;22,2;20,3;22,2;22,1;20,3;20;89;88;89;218;1,3;0;
2022/01/01;0800 UTC;0;990,9;990,9;990,5;;22,2;20,4;22,4;22;20,5;20,2;90;89;90;173;1,2;0;
2022/01/01;0900 UTC;0;991,6;991,6;990,9;42,7;22,2;20,6;22,4;22;20,6;20,3;91;90;91;110;1,5;,2;
2022/01/01;1000 UTC;0;992,2;992,2;991,6;633,8;25,4;23,2;25,7;22,2;23,5;20,6;91;87;87;124;2,5;,7;
2022/01/01;1100 UTC;0;992,8;992,8;992,2;1404,2;27,3;23,7;27,3;25,4;23,8;22,5;87;81;81;75;5,3;3,3;
2022/01/01;1200 UTC;0;993,1;993,1;992,8;1414;27,6;22,8;28;26,5;23,5;22,4;81;75;75;74;6,9;2,6;
2022/01/01;1300 UTC;0;992,7;993,1;992,7;2427,8;30,3;23,3;30,3;27,6;23,4;22;75;66;66;67;7,2;2,9;
2022/01/01;1400 UTC;0;992;992,7;992;2659,5;31,4;22;31,4;29,2;22,9;21,4;66;57;58;110;6,4;2,8;
2022/01/01;1500 UTC;0;991,3;992;991,3;1892,9;31,1;20,9;32;29,7;22,4;19,9;58;54;55;122;6,3;2,6;
2022/01/01;1600 UTC;0;990,5;991,3;990,5;2150,1;31,6;20,3;31,7;30,4;21,1;19,7;55;51;51;73;6,7;2,4;
2022/01/01;1700 UTC;0;989,6;990,5;989,6;2387,7;31,4;19,4;32,9;31;20,9;19,2;52;48;49;114;4,9;1,7;
2022/01/01;1800 UTC;0;988,9;989,6;988,9;1301,4;31,7;21,1;31,7;29,2;21,9;19,3;57;49;53;179;6,5;3;
2022/01/01;1900 UTC;0;988,5;988,9;988,4;1836,1;31;21,3;32;30,2;21,8;20,2;57;53;56;146;8,2;4,4;
2022/01/01;2000 UTC;0;988,9;988,9;988,5;925,6;29,8;21,1;31,2;29,7;21,5;20,4;60;56;60;145;8,8;4,8;
2022/01/01;2100 UTC;0;989,6;989,6;988,9;248,7;27,4;20,5;29,8;27,4;21,1;20,5;66;60;66;135;8,8;4,9;
2022/01/01;2200 UTC;0;990,5;990,5;989,6;;25,9;20;27,4;25,9;20,5;20;70;66;70;135;7,6;2,2;
2022/01/01;2300 UTC;0;991,5;991,5;990,5;;25,1;20;25,9;25;20,1;19,7;73;70;73;146;4,8;2,7;
2022/01/02;0000 UTC;0;992,4;992,4;991,5;;24,4;20;25,1;24,4;20;19,7;77;73;77;145;4,8;,4;
2022/01/02;0100 UTC;0;992,7;992,7;992,4;;23,2;19,7;24,5;23,2;20,2;19,6;81;77;81;125;2,9;1,3;
2022/01/02;0200 UTC;0;992,3;992,8;992,3;;22,8;19,9;23,2;22,7;20;19,7;84;81;84;136;2,6;1,9;
2022/01/02;0300 UTC;0;992,1;992,4;992,1;;23,2;20,6;23,2;22,7;20,6;19,9;86;84;86;150;2,6;0;
2022/01/02;0400 UTC;0;991,7;992,1;991,7;;22,4;20,2;23,2;22,4;20,7;20,1;87;86;87;219;1,2;0;
2022/01/02;0500 UTC;0;991,3;991,7;991,3;;21,9;20;22,8;21,9;20,6;19,9;89;87;89;300;1;0;
2022/01/02;0600 UTC;0;991,2;991,3;991,1;;21,8;20,1;22;21,7;20,2;19,9;90;89;90;308;0;0;
2022/01/02;0700 UTC;0;991,4;991,4;991,1;;21,1;19,6;21,9;21,1;20,2;19,6;91;90;91;7;1,3;0;
2022/01/02;0800 UTC;0;991,8;991,8;991,4;;21;19,6;21,3;21;20;19,5;92;91;92;107;0;0;
2022/01/02;0900 UTC;0;992,6;992,6;991,8;116,3;22,1;20,8;22,1;20,5;20,8;19,2;93;92;93;224;0;0;
2022/01/02;1000 UTC;0;993;993;992,6;715,1;24,1;22,4;24,1;22,1;22,5;20,9;93;90;90;161;0;0;
2022/01/02;1100 UTC;0;993,5;993,5;993;1369,3;25,9;23,1;26;24,1;23,7;22,4;90;84;85;53;3;,5;
2022/01/02;1200 UTC;0;993,4;993,5;993,4;2400,7;28,4;23,2;29;25,9;24,7;22,9;85;74;74;85;7;3,8;
2022/01/02;1300 UTC;0;993,2;993,4;993,2;2406,9;28,6;21,9;30;28,4;23,9;21,6;74;67;67;103;6,8;2,6;
2022/01/02;1400 UTC;0;992,8;993,2;992,8;1731,2;29,4;21,7;29,8;28,4;22,5;21,5;67;63;63;56;5,7;,6;
2022/01/02;1500 UTC;0;992;992,8;992;2622,4;29,9;20,4;31,5;29,5;22,7;20,4;63;56;57;67;5,8;2,1;
2022/01/02;1600 UTC;0;990,9;992;990,9;2744,6;30,7;19,8;32,8;29,7;22;19,8;58;51;52;161;4,4;1,8;
2022/01/02;1700 UTC;0;989,8;990,9;989,8;2199;31,8;19,8;33,3;30,6;21,6;19;53;48;49;152;7,3;3,6;
2022/01/02;1800 UTC;0;989;989,8;989;1881,6;32,5;20,3;33;30,8;20,7;18,6;50;47;49;141;7,3;3,1;
2022/01/02;1900 UTC;0;988,7;989;988,7;1155,4;31,7;19,1;32,7;30,4;20,3;18,8;51;47;47;166;7,1;3,5;
2022/01/02;2000 UTC;0;989,1;989,1;988,7;965,5;30,3;18,6;32,2;30,3;19,5;18,5;50;46;50;151;7,7;3,7;
2022/01/02;2100 UTC;0;989,8;989,8;989,1;152,4;27,9;18,6;30,4;27,9;18,7;18,5;57;50;57;136;6,3;3,5;
2022/01/02;2200 UTC;0;990,7;990,7;989,8;;26,5;19,3;27,9;26,5;19,4;18,6;65;57;65;136;7,7;4,6;
2022/01/02;2300 UTC;0;991,3;991,3;990,7;;25,2;19,2;26,5;25,2;19,4;19,1;69;65;69;138;8,2;4,1;
2022/01/03;0000 UTC;0;992,4;992,4;991,3;;24,3;19,1;25,2;24,3;19,2;19;73;69;73;198;8;,4;
2022/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/03;0200 UTC;0;992,8;993,1;992,8;;22,8;19,4;23;22,7;19,4;18,8;81;78;81;207;1,8;,2;
2022/01/03;0300 UTC;0;992,4;992,8;992,4;;21,8;19,1;22,8;21,8;19,4;19,1;85;81;85;186;2,1;0;
2022/01/03;0400 UTC;0;992;992,4;992;;21,4;19,2;21,8;21,4;19,4;19,1;88;85;88;173;2;,1;
2022/01/03;0500 UTC;0;991,5;992,1;991,5;;21;19,2;21,5;21;19,6;19,2;90;88;90;165;2;,1;
2022/01/03;0600 UTC;0;991,8;991,8;991,4;;21,1;19,6;21,1;20,9;19,6;19,2;91;90;91;183;2;0;
2022/01/03;0700 UTC;0;992,3;992,3;991,8;;21,1;19,8;21,2;20,9;19,8;19,6;92;91;92;199;2,3;0;
2022/01/03;0800 UTC;0;992,6;992,6;992,3;;20,4;19,2;21,1;20,4;19,8;19,2;93;92;93;157;2,4;,5;
2022/01/03;0900 UTC;0;993,4;993,4;992,6;107,2;20,2;19,2;20,4;20,1;19,4;19,1;94;93;94;93;2,3;1,1;
2022/01/03;1000 UTC;0;993,9;993,9;993,4;805,8;22,1;20,9;22,1;20,2;21;19,3;94;93;93;320;2,3;0;
2022/01/03;1100 UTC;0;994,1;994,1;993,8;871;24,4;22,6;24,8;22,1;23;21;93;90;90;277;1,7;,1;
2022/01/03;1200 UTC;0;993,8;994,1;993,8;1815,9;27,2;23,3;27,4;24,4;24,8;22,6;90;80;80;87;6,1;2,5;
2022/01/03;1300 UTC;0;993,2;993,8;993,2;3070,2;29,1;22,3;30,4;27,2;24,3;22,3;80;67;67;121;6;3;
2022/01/03;1400 UTC;0;992,9;993,2;992,9;2690,4;30,1;20,7;30,6;28,9;22,5;20,5;67;57;57;134;6;3;
2022/01/03;1500 UTC;0;992,2;992,9;992,2;2792;30,7;20;31;30;21,4;19,3;58;52;53;95;5,7;2,7;
2022/01/03;1600 UTC;0;991,4;992,2;991,4;2759,7;31,9;19,3;31,9;30,2;19,9;18,4;53;47;47;169;5,8;1,4;
2022/01/03;1700 UTC;0;990,1;991,5;990,1;2231,9;31,9;17,2;32,1;31;19,3;17,2;47;42;42;182;4,2;,1;
