REGIAO:;NE
UF:;CE
ESTACAO:;IGUATU
CODIGO (WMO):;A319
LATITUDE:;-6,39638888
LONGITUDE:;-39,26888888
ALTITUDE:;221,56
DATA DE FUNDACAO:;30/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;985,6;985,6;984,5;;25,2;21,6;25,5;25,1;21,6;21;80;76;80;13;3,9;1,5;
2022/01/01;0100 UTC;0;986,1;986,1;985,6;;25,3;21,7;25,3;25,1;21,8;21,5;82;80;81;12;2,4;1,2;
2022/01/01;0200 UTC;0;986,3;986,3;986,1;;25,2;21,6;25,4;25,2;21,8;21,5;81;79;81;342;2,2;,8;
2022/01/01;0300 UTC;0;985,5;986,3;985,5;;24,6;21,6;25,2;24,6;21,6;21,4;83;80;83;16;2,6;1,1;
2022/01/01;0400 UTC;0;985,1;985,5;985,1;;24,5;21,8;24,7;24,5;21,9;21,6;85;83;85;204;2;,9;
2022/01/01;0500 UTC;0;984,9;985,1;984,8;;24,7;21,9;24,7;24,4;22,1;21,8;86;85;85;308;1,8;1;
2022/01/01;0600 UTC;0;984,5;984,9;984,5;;24,3;21,8;24,7;24,3;21,9;21,6;86;83;86;334;2,8;1,1;
2022/01/01;0700 UTC;0;985;985;984,5;;24,4;22;24,4;24,2;22;21,8;87;86;87;44;2,1;1,2;
2022/01/01;0800 UTC;0;985,8;985,8;984,8;;23,3;20,2;24,4;23,3;22;20,2;87;83;83;120;6,4;3,6;
2022/01/01;0900 UTC;4,4;986,2;986,2;985,8;,1;22;19,8;23,3;21,8;20,2;19,2;88;82;88;129;7,5;2,2;
2022/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1300 UTC;0;988,3;;;676,5;25;21,3;;;;;;;80;271;;1,6;
2022/01/01;1400 UTC;0;987,7;988,3;987,7;1594,8;26,1;21,2;26,7;24,9;21,5;20,3;80;70;74;287;3,4;1,7;
2022/01/01;1500 UTC;0;987,1;987,7;987,1;1242,4;26,8;21,1;26,8;25,9;21,7;20,5;75;70;71;291;4,8;1,5;
2022/01/01;1600 UTC;0;986;987,1;986;1722,8;28,2;21,3;28,5;26,6;22;20,4;73;64;66;266;3,7;1,7;
2022/01/01;1700 UTC;0;984,8;986;984,8;1359,6;28,7;21,5;28,7;27,9;21,7;20,3;68;63;65;256;3,6;2;
2022/01/01;1800 UTC;0;983,9;984,8;983,9;1224,7;29;20,8;29,2;28,1;22;20,5;67;60;61;278;4,8;1,9;
2022/01/01;1900 UTC;0;983,5;983,9;983,5;800,9;28,3;21,2;29,4;28,1;21,7;20,2;66;61;65;285;3,7;1,2;
2022/01/01;2000 UTC;0;983,8;983,8;983,4;361,9;28;20,3;28,4;28;21,4;19,9;66;61;63;263;3,1;1;
2022/01/01;2100 UTC;0;984,3;984,3;983,8;70,7;27,1;20,9;28;27,1;21,2;20,1;69;62;69;259;1,8;,8;
2022/01/01;2200 UTC;0;984,9;984,9;984,3;;26,4;21,4;27,1;26,4;21,4;20,9;74;69;74;222;2,1;1,2;
2022/01/01;2300 UTC;0;985,7;985,7;984,9;;26,1;21,7;26,4;26,1;21,7;21,3;76;74;76;232;3,7;1,9;
2022/01/02;0000 UTC;0;986;986;985,6;;25,6;21,4;26,1;25,6;21,7;21,4;78;76;78;256;3,8;1,4;
2022/01/02;0100 UTC;0;986,4;986,5;986;;25,4;21,7;25,7;25,4;21,7;21,4;80;78;80;247;3,5;,9;
2022/01/02;0200 UTC;0;987,1;987,1;986,4;;25,1;21,9;25,4;25,1;21,9;21,7;82;80;82;6;4,7;2,8;
2022/01/02;0300 UTC;0;986,3;987,1;986,3;;25,4;21,5;25,4;25,1;21,9;21,5;82;79;79;345;4,7;1,7;
2022/01/02;0400 UTC;0;986;986,3;985,9;;25,4;21,4;25,6;25,4;21,5;21;79;75;78;3;3,6;,6;
2022/01/02;0500 UTC;0;985,7;986;985,7;;25;21,7;25,4;25;21,7;21,2;82;78;82;93;1,1;,7;
2022/01/02;0600 UTC;0;985,3;985,7;985,2;;24,9;21,8;25;24,8;21,8;21,4;83;81;83;117;2,9;,2;
2022/01/02;0700 UTC;,2;985,8;985,8;985,3;;24,2;21,6;24,9;24,2;21,8;21,6;86;83;86;98;2,6;1,6;
2022/01/02;0800 UTC;29,4;986,2;986,2;985,8;;21,9;20,5;24,2;21,7;21,8;19,8;91;86;91;135;10,2;4,5;
2022/01/02;0900 UTC;12,4;987;987;986,2;,1;21,9;20,6;22;21,8;20,7;20,5;92;91;92;106;8,6;3,2;
2022/01/02;1000 UTC;13;988,3;988,3;987;12;21,8;20,6;21,9;21,7;20,6;20,4;93;92;93;263;6,1;,6;
2022/01/02;1100 UTC;2,6;988,8;988,8;988,3;133;22,4;21,2;22,4;21,8;21,2;20,6;93;93;93;324;2,3;,8;
2022/01/02;1200 UTC;1,2;989;989;988,8;478,1;23,6;22;23,8;22,3;22,2;21,1;93;91;91;32;2,6;1,5;
2022/01/02;1300 UTC;0;988,9;989;988,9;1278;25,7;21,5;25,8;23,4;22,3;21,1;91;76;78;41;4,1;2,3;
2022/01/02;1400 UTC;0;988,2;988,9;988,2;1624,9;26,6;20,8;26,8;25,6;21,6;20,6;78;69;70;299;4,2;1,6;
2022/01/02;1500 UTC;0;987,5;988,2;987,5;1770,6;27,6;19,7;27,9;26,6;21,7;19,7;72;62;62;297;4,7;1,3;
2022/01/02;1600 UTC;0;986,5;987,5;986,5;2183,2;28,9;21,2;29,2;27,5;21,5;19,6;66;58;63;333;4;2;
2022/01/02;1700 UTC;0;985,3;986,5;985,3;2073,7;29,4;19,8;30,1;28,4;21,5;19,6;64;55;56;285;5,2;1,5;
2022/01/02;1800 UTC;0;984,9;985,3;984,9;1439,9;26,7;20,8;30,3;26,7;21,2;19;70;53;70;116;7,4;4,4;
2022/01/02;1900 UTC;0;984,3;984,9;984,3;733,1;27,9;20,8;27,9;26,2;21,8;20,7;76;65;66;161;7,4;1,4;
2022/01/02;2000 UTC;0;984,2;984,3;984;585,5;28,6;19,2;29,3;27,8;21,2;19,1;67;55;57;163;2,4;,9;
2022/01/02;2100 UTC;0;984,8;984,8;984,2;116,9;27,3;21,2;28,7;27,3;21,5;19,5;70;57;70;188;2,4;1,4;
2022/01/02;2200 UTC;0;985,4;985,4;984,8;;26,2;22,5;27,3;25,9;22,5;21,3;81;70;80;149;2,6;,4;
2022/01/02;2300 UTC;0;986;986;985,4;;25,9;22,3;26,2;25,4;22,9;22,1;84;79;81;324;1,2;,9;
2022/01/03;0000 UTC;0;986,7;986,7;986;;24,7;21,6;26,1;24,7;22,6;21,6;83;79;83;293;1,5;,6;
2022/01/03;0100 UTC;0;987,2;987,2;986,6;;25,6;22;25,6;24,6;22,4;21,7;86;81;81;357;5,1;1,4;
2022/01/03;0200 UTC;0;986,8;987,2;986,8;;25,3;20,9;26,2;25,3;22,2;20,6;81;73;77;20;6,9;2;
