REGIAO:;NE
UF:;MA
ESTACAO:;SAO LUIS
CODIGO (WMO):;A203
LATITUDE:;-2,52666666
LONGITUDE:;-44,21361111
ALTITUDE:;54,8
DATA DE FUNDACAO:;29/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;1005;1005,1;1004,2;;25,7;25;25,8;25,7;25;24,9;96;95;96;349;1,4;,2;
2022/01/01;0100 UTC;;1005,7;1005,8;1005;;24,4;23,8;25,8;24,1;25,1;23,4;97;95;96;325;9,1;2,1;
2022/01/01;0200 UTC;;1005,6;1005,8;1005,4;;24,1;23,5;24,4;24;23,7;23,4;97;96;97;43;4,3;1;
2022/01/01;0300 UTC;;1005,8;1006,2;1005,4;;24,1;23,6;24,3;24;23,7;23,5;97;97;97;98;4,3;,4;
2022/01/01;0400 UTC;;1005,5;1005,8;1005,4;;24,1;23,5;24,1;24;23,6;23,5;97;97;97;160;2,2;,3;
2022/01/01;0500 UTC;;1004,8;1005,5;1004,7;;23,9;23,4;24,1;23,9;23,5;23,4;97;97;97;102;1,7;,3;
2022/01/01;0600 UTC;;1004,7;1004,8;1004,6;;23,9;23,4;23,9;23,9;23,4;23,3;97;97;97;248;1,6;,3;
2022/01/01;0700 UTC;;1004,6;1004,7;1004,6;;23,6;23,1;23,9;23,6;23,4;23,1;97;97;97;226;2,6;,3;
2022/01/01;0800 UTC;;1004,6;1004,6;1004,4;;23,3;22,8;23,6;23,3;23;22,8;97;97;97;310;1,1;,1;
2022/01/01;0900 UTC;;1005,3;1005,3;1004,6;;23,3;22,8;23,3;23,2;22,8;22,7;97;97;97;65;1,6;,2;
2022/01/01;1000 UTC;;1006,1;1006,1;1005,3;;23,7;23,2;23,7;23,3;23,2;22,8;97;97;97;4;1;,2;
2022/01/01;1100 UTC;;1006,8;1006,8;1006,1;;23,6;23,1;23,7;23,4;23,2;22,9;97;97;97;35;1,6;0;
2022/01/01;1200 UTC;;1007,5;1007,5;1006,8;;23,8;23,3;23,9;23,6;23,3;23,1;97;97;97;280;1,1;,3;
2022/01/01;1300 UTC;;1007,7;1007,7;1007,5;;24;23,4;24;23,8;23,5;23,3;97;97;97;317;1,7;,7;
2022/01/01;1400 UTC;;1007,3;1007,7;1007,3;458,8;24,1;23,5;24,2;23,9;23,7;23,3;97;97;97;257;1,7;,1;
2022/01/01;1500 UTC;;1006,5;1007,3;1006,5;654;24,2;23,6;24,3;24,1;23,8;23,5;97;97;97;344;1;,2;
2022/01/01;1600 UTC;;1005,9;1006,5;1005,9;;24,5;23,9;24,6;24,2;24;23,6;97;96;96;282;1,4;,3;
2022/01/01;1700 UTC;;1005;1005,9;1005;;24,8;24,1;24,9;24,5;24,2;23,8;96;95;96;237;1,7;,3;
2022/01/01;1800 UTC;;1004;1005;1004;;24,8;23,9;24,9;24,6;24,1;23,7;96;95;95;262;2,6;,6;
2022/01/01;1900 UTC;;1003,2;1004;1003,2;;24,9;23,7;25;24,7;24,1;23,6;95;93;93;198;1,7;0;
