REGIAO:;NE
UF:;PB
ESTACAO:;SAO GONCALO
CODIGO (WMO):;A333
LATITUDE:;-6,835777
LONGITUDE:;-38,311583
ALTITUDE:;237,04
DATA DE FUNDACAO:;06/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;983,6;983,6;982,4;;27,9;20,5;28,2;27,1;21,6;20,5;71;64;64;341;6,2;1,7;
2022/01/01;0100 UTC;0;984,4;984,4;983,6;;26,8;20,9;28;26,8;20,9;19,9;70;63;70;104;4,4;,1;
2022/01/01;0200 UTC;0;984,6;984,7;984,4;;25,9;20,7;26,8;25,9;21,2;20,6;73;69;73;59;5,7;3,1;
2022/01/01;0300 UTC;,4;984,3;984,7;984,3;;24,5;21,2;25,9;24,5;21,4;20,7;82;73;82;91;7,1;0;
2022/01/01;0400 UTC;4,2;984,1;984,4;984,1;;23,7;21,5;24,6;23,7;21,7;21,3;87;82;87;58;2,4;,7;
2022/01/01;0500 UTC;10;983,5;984,1;983,5;;23;21,1;23,7;23;21,4;21;89;86;89;231;2,9;,4;
2022/01/01;0600 UTC;10,8;983,9;983,9;983,5;;22,9;21,1;23,1;22,9;21,3;21;90;89;90;152;2,7;1;
2022/01/01;0700 UTC;44,6;984,9;984,9;983,9;,6;21,7;20,1;22,9;21,5;21,2;19,8;91;90;91;139;3,8;1,1;
2022/01/01;0800 UTC;12,4;985,1;985,1;984,7;;22,1;20,6;22,1;21,6;20,6;20;91;91;91;238;2,4;1,2;
2022/01/01;0900 UTC;1,2;985,3;985,3;985;7,6;22,1;21,7;22,1;22;22;20,5;100;91;97;241;2,4;,1;
2022/01/01;1000 UTC;0;985,3;985,4;985,1;376,8;23,2;21,7;23,2;22;21,7;20,8;97;91;91;175;3,2;0;
2022/01/01;1100 UTC;0;986;986;985,3;918,3;25,1;21,8;25,2;23,2;22,5;21,6;91;82;82;84;3,2;1,7;
2022/01/01;1200 UTC;0;986,2;986,3;986;1401,5;26,5;21,4;26,5;25,1;22,1;21,2;82;73;74;103;3,5;1,2;
2022/01/01;1300 UTC;0;986,2;986,4;986,2;2345;27,5;20,7;28;26,5;22;20,3;74;65;67;107;5,1;1,6;
2022/01/01;1400 UTC;0;985,7;986,2;985,7;1800,4;28,4;20,9;28,5;27,5;21,4;20,3;67;62;64;128;3,7;1,8;
2022/01/01;1500 UTC;0;985;985,7;985;1885,5;29,2;20,7;30,1;28,5;22;19,5;66;55;60;241;5,2;1,3;
2022/01/01;1600 UTC;0;984,3;985;984,3;2201,4;29,7;20,1;30,7;29;21,3;19,6;60;55;56;255;4;1,1;
2022/01/01;1700 UTC;0;983,1;984,3;983,1;1870,5;30,9;20,5;30,9;29,5;21,3;19,4;59;53;54;234;3;,9;
2022/01/01;1800 UTC;0;982,3;983,1;982,3;2310,7;30,4;20,2;31,7;30,3;21,1;19,4;55;49;54;233;3,6;1,3;
2022/01/01;1900 UTC;0;981,6;982,3;981,6;728,1;29,6;20,8;30,7;29,6;20,8;19,6;59;52;59;233;3,2;1,4;
2022/01/01;2000 UTC;0;981,7;981,7;981,5;613,9;29,3;21;30;29,3;21,3;20,4;61;57;61;239;3,1;1,6;
2022/01/01;2100 UTC;0;982,1;982,1;981,6;175;27,9;21,4;29,3;27,9;21,8;21;69;61;68;243;2,4;,8;
2022/01/01;2200 UTC;0;982,8;982,8;982;;27,1;22;27,9;26,9;22;21,1;74;68;73;284;2,4;0;
2022/01/01;2300 UTC;0;983,7;983,7;982,8;;26,8;21,8;27,1;26,2;22,3;21,7;77;73;74;268;1,4;0;
2022/01/02;0000 UTC;0;984,4;984,4;983,7;;26,7;22,2;26,8;26,5;22,3;21,8;77;74;76;268;2,4;1,2;
2022/01/02;0100 UTC;0;985,2;985,2;984,4;;26,5;22;26,9;26,5;22,2;21,6;76;73;76;149;2,5;,5;
2022/01/02;0200 UTC;0;985,3;985,7;985,2;;26,5;22,5;26,6;26,4;22,5;21,9;79;76;79;317;5;,1;
2022/01/02;0300 UTC;0;985,1;985,3;984,9;;26,4;21;26,8;26;22,6;21;81;72;72;32;5,4;2,4;
2022/01/02;0400 UTC;5,4;985,2;985,3;984,9;2,1;22,8;20,9;26,4;22,7;21;20,3;89;72;89;161;10,3;3;
2022/01/02;0500 UTC;8,8;984,9;985,4;984,7;;22,6;20,6;22,9;22,6;21;20,6;90;89;89;129;6,5;1,9;
2022/01/02;0600 UTC;,4;985;985,1;984,9;;22,6;20,6;22,9;22,6;21;20,6;89;88;89;39;3,1;1,4;
2022/01/02;0700 UTC;,2;984,9;985;984,8;;22,8;20,9;22,8;22,6;20,9;20,6;89;89;89;101;3,1;0;
2022/01/02;0800 UTC;0;985;985;984,8;;22,7;20,8;22,9;22,5;21,1;20,6;90;89;89;132;,7;0;
2022/01/02;0900 UTC;0;985,6;985,6;985;31;22,6;20,7;22,8;22,5;21;20,7;90;89;89;261;1,5;,3;
2022/01/02;1000 UTC;0;986,4;986,4;985,6;456,5;23,9;21,7;24;22,5;21,9;20,7;90;87;87;280;2,1;0;
2022/01/02;1100 UTC;0;987,2;987,2;986,3;501,8;24,3;21,5;24,4;23,7;21,8;21,2;88;84;84;6;1,7;0;
2022/01/02;1200 UTC;0;987,5;987,5;987,2;705,6;25,6;21,4;25,6;24,2;22,1;21,1;85;77;78;107;1;,1;
2022/01/02;1300 UTC;0;987,2;987,5;987,2;1318,2;26,6;20,7;26,8;25,5;21,6;20,6;78;69;70;94;2,8;1,5;
2022/01/02;1400 UTC;0;986,4;987,2;986,4;2167,6;28,8;20,6;28,8;26,6;21,3;19,8;70;60;61;76;4;1;
2022/01/02;1500 UTC;0;985,8;986,4;985,8;2421,7;30;20,5;30;28;20,7;19,3;62;55;57;69;5,4;1;
2022/01/02;1600 UTC;0;984,9;985,8;984,9;3039,3;30,7;19,6;31,4;29,3;20,5;18,7;57;48;52;94;3,3;1,5;
2022/01/02;1700 UTC;0;983,8;984,9;983,8;3317;31,1;19,6;31,7;30,2;20,4;18,6;55;47;51;23;4,1;1,9;
2022/01/02;1800 UTC;0;982,7;983,8;982,7;2567,9;32,2;17,6;32,9;31,1;20,3;17,5;51;41;42;327;4,1;,4;
2022/01/02;1900 UTC;0;982,2;982,7;982,2;2106,8;31,5;19,2;33,7;31,2;19,3;17,1;49;38;48;299;3,5;2,1;
2022/01/02;2000 UTC;0;982,2;982,2;982;761,5;29,8;20,6;32,4;29,8;20,7;18,2;58;44;58;262;3,3;1,7;
2022/01/02;2100 UTC;0;982,8;982,8;982,2;75,8;28,7;22,2;29,7;28,4;22,3;20,1;68;56;68;292;3,1;1,3;
2022/01/02;2200 UTC;0;983,7;983,7;982,8;;27,9;22,5;28,8;27,9;22,5;22;72;67;72;297;5,1;1,6;
2022/01/02;2300 UTC;0;984,1;984,1;983,7;;27;22,3;27,9;27;22,7;22,3;76;72;76;279;3,1;,6;
2022/01/03;0000 UTC;0;985;985;984,1;;26,1;22,6;27;26,1;22,6;22,1;81;76;81;254;1,8;0;
2022/01/03;0100 UTC;0;985,7;985,8;985;;27,2;20,5;27,2;26,1;22,9;20,5;81;67;67;35;6,9;3,2;
2022/01/03;0200 UTC;0;985,3;985,8;985,3;;26,1;20,6;27,2;26;20,8;20,3;73;67;72;39;6,9;2,6;
2022/01/03;0300 UTC;28,6;985,3;985,5;985,1;,6;23,3;21,7;26,2;22,8;21,7;20,6;91;72;91;66;10;1,1;
2022/01/03;0400 UTC;1,4;984,9;985,4;984,9;;23,6;22;23,6;23,2;22,4;21,5;95;90;91;169;2,9;1,1;
2022/01/03;0500 UTC;,4;984,8;984,9;984,6;;23,9;22;24;23,6;22,5;22;93;89;90;99;3,5;1,4;
2022/01/03;0600 UTC;3,8;985,3;985,3;984,8;0;22,9;20,9;23,9;22,9;22,1;20,9;90;89;89;114;10,2;5,6;
2022/01/03;0700 UTC;,6;985,5;985,6;985,1;;22,3;20,4;23;22,3;21;20,3;89;89;89;107;10,2;2,6;
2022/01/03;0800 UTC;,4;985,9;986;985,5;;22,1;20,1;22,3;22,1;20,4;20,1;89;88;88;131;5,5;2,8;
2022/01/03;0900 UTC;0;986;986;985,7;17,5;22,1;20;22,3;22,1;20,1;20;88;87;88;115;5,3;2,7;
2022/01/03;1000 UTC;0;986,9;986,9;986;390,7;23,8;21,2;23,8;22,1;21,2;20;88;85;85;94;4,4;1,1;
2022/01/03;1100 UTC;0;987,2;987,3;986,9;941,2;24,4;20,7;24,4;23,8;21,1;20,4;85;80;80;106;3,1;2;
2022/01/03;1200 UTC;0;987,6;987,7;987,2;1056,8;25;21,1;25;24,1;21,1;20,3;81;78;79;94;3,8;2,2;
2022/01/03;1300 UTC;0;987,4;987,7;987,4;1915,7;26,8;21,4;26,8;25;21,7;20,7;79;72;72;93;5,5;2,5;
2022/01/03;1400 UTC;0;987;987,4;987;2461,8;27,6;21,1;27,8;26,5;21,6;20,7;73;66;68;95;5,7;3,2;
2022/01/03;1500 UTC;0;986,2;987;986,2;2887,3;29,4;20,9;29,4;27,6;21,5;20;69;59;60;107;7,9;4;
2022/01/03;1600 UTC;0;985,1;986,2;985,1;3554,9;30,2;20;30,6;29;21,3;19,4;62;53;54;111;7;3,1;
2022/01/03;1700 UTC;0;983,8;985,1;983,8;2734,2;30,7;21,9;30,7;29,8;21,9;19,4;59;53;59;143;6,3;2,5;
2022/01/03;1800 UTC;0;982,8;983,8;982,8;2464,9;30,5;19,8;31,1;29,9;21,3;19,5;59;52;53;122;5,7;2,5;
2022/01/03;1900 UTC;0;981,9;982,8;981,9;1770,8;30,6;19,8;30,6;30;20,7;18,9;57;50;53;100;4,8;1,9;
2022/01/03;2000 UTC;0;981,9;981,9;981,8;1121,9;30,5;19,4;31;30,3;20,3;18,8;54;49;52;104;3,9;1,8;
2022/01/03;2100 UTC;0;982,7;982,7;982;254,5;28,8;21,1;30,6;28,8;21,2;19,3;63;51;63;78;2,8;,5;
2022/01/03;2200 UTC;0;983,2;983,2;982,7;;26,6;22,3;28,8;26,3;22,8;20,9;80;63;77;14;5,7;,8;
2022/01/03;2300 UTC;0;984,3;984,3;983,2;;26,1;20,8;27,5;26,1;22,1;20,7;77;68;73;25;6,7;,8;
2022/01/04;0000 UTC;0;985;985;984,3;;24,7;20,9;26,1;24,7;21;20,6;79;73;79;76;2,6;,2;
2022/01/04;0100 UTC;0;985,5;985,6;985;;24,7;21,5;24,8;24,5;21,5;20,8;83;79;83;19;3,9;0;
2022/01/04;0200 UTC;0;985,5;985,7;985,4;;24,9;22;24,9;24,6;22;21,4;84;82;84;280;,8;0;
2022/01/04;0300 UTC;0;984,9;985,5;984,9;;24,8;21,7;25,2;24,8;22,2;21,7;84;82;83;86;0;0;
2022/01/04;0400 UTC;0;984;984,9;984;;24;21,8;24,9;23,9;21,9;21,6;87;83;87;159;0;0;
2022/01/04;0500 UTC;0;983,5;984,1;983,5;;24,3;22,1;24,5;24;22,3;21,8;88;87;87;186;0;0;
2022/01/04;0600 UTC;0;983,3;983,6;983,3;;24,1;21;24,3;23,8;22,1;21;88;83;83;115;1,8;0;
2022/01/04;0700 UTC;0;983,3;983,4;983,3;;23,6;19,9;24,1;23,6;21,1;19,9;84;80;80;171;6,5;3,9;
2022/01/04;0800 UTC;0;983,6;983,6;983,2;;23,4;19,4;23,6;23,3;19,8;19,4;80;78;78;169;6,8;1;
