REGIAO:;N
UF:;AM
ESTACAO:;LABREA
CODIGO (WMO):;A111
LATITUDE:;-7,26055555
LONGITUDE:;-64,7886111
ALTITUDE:;61,91
DATA DE FUNDACAO:;27/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;1001;1001;1000,2;0;26;23,9;27,2;26;23,9;23,4;88;81;88;49;3,3;0;
2022/01/01;0100 UTC;;1002,1;1002,1;1001;0;25,7;23,8;26;25,6;23,9;23,7;90;88;89;35;,8;0;
2022/01/01;0200 UTC;;1002,3;1002,5;1002,1;0;25,7;23,8;25,8;25,7;24;23,8;90;89;89;28;1,1;0;
2022/01/01;0300 UTC;;1002,2;1002,4;1002,2;0;25,3;23,6;25,8;25,3;24;23,6;90;89;90;354;2,3;,1;
2022/01/01;0400 UTC;;1003;1003;1002,2;0;25,3;23,3;25,4;24,9;23,6;23,3;91;89;89;313;3,5;1,4;
2022/01/01;0500 UTC;;1002,2;1003;1002,2;0;25,3;23,1;25,5;25,3;23,4;23,1;89;87;88;339;3,7;1,3;
2022/01/01;0600 UTC;;1001,3;1002,2;1001,2;0;24,9;23;25,3;24,9;23,2;23;90;88;90;317;4,3;1,3;
2022/01/01;0700 UTC;;1001,1;1001,3;1000,5;0;24,5;23;24,9;24,5;23,1;22,9;91;90;91;336;5,5;1,5;
2022/01/01;0800 UTC;;1001,2;1001,2;1001;0;24,6;22,8;24,7;24,5;23;22,8;91;89;89;329;3,4;,6;
2022/01/01;0900 UTC;;1001;1001,2;1000,9;0;24,3;22,5;24,7;24,3;22,8;22,5;90;89;90;348;2,5;1,2;
2022/01/01;1000 UTC;;1001,6;1001,7;1000,9;0;24,1;22,3;24,3;24,1;22,5;22,3;90;89;90;309;4;,6;
