REGIAO:;SE
UF:;MG
ESTACAO:;BELO HORIZONTE (PAMPULHA)
CODIGO (WMO):;A521
LATITUDE:;-19,88388888
LONGITUDE:;-43,96944443
ALTITUDE:;854,02
DATA DE FUNDACAO:;10/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;,6;916,1;916,1;915,1;;18,9;17,5;19,2;18,9;17,7;17,5;91;91;91;29;3,2;,7;
2022/01/01;0100 UTC;1,6;916,4;916,5;916,1;;18,8;17,4;18,9;18,8;17,5;17,4;92;91;92;97;1,8;,3;
2022/01/01;0200 UTC;,2;916,3;916,5;916,2;;18,7;17,4;18,9;18,7;17,6;17,3;92;92;92;40;1,5;,2;
2022/01/01;0300 UTC;,2;916;916,3;916;;18,8;17,5;18,8;18,6;17,5;17,3;92;92;92;24;1,1;,1;
2022/01/01;0400 UTC;1;915,5;916;915,5;;18,9;17,6;19;18,7;17,7;17,5;92;92;92;286;1;,1;
2022/01/01;0500 UTC;0;914,7;915,6;914,7;;19,1;17,8;19,1;18,9;17,8;17,7;92;92;92;89;1,6;,6;
2022/01/01;0600 UTC;0;914,4;914,7;914,4;;19,3;18;19,3;19;18;17,8;92;92;92;59;2,1;,5;
2022/01/01;0700 UTC;0;914,6;914,6;914,3;;19,2;17,9;19,3;19,1;18;17,9;93;92;92;329;2,7;,4;
2022/01/01;0800 UTC;,2;915;915;914,6;;19,1;17,9;19,2;19,1;18;17,9;93;92;93;84;1,3;0;
2022/01/01;0900 UTC;0;915,3;915,3;914,9;16;19,3;18;19,3;19;18;17,8;93;93;93;101;2,9;,4;
