REGIAO:;SE
UF:;MG
ESTACAO:;PATROCINIO
CODIGO (WMO):;A523
LATITUDE:;-18,996684
LONGITUDE:;-46,985935
ALTITUDE:;978,11
DATA DE FUNDACAO:;22/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;4,8;902,2;902,2;901,6;;19,2;18,6;19,2;18,9;18,6;18,3;97;96;96;47;5;2,8;
2022/01/01;0100 UTC;2;902,6;902,7;902,1;;19,1;18,3;19,2;19,1;18,6;18,3;96;95;95;38;6;3,3;
2022/01/01;0200 UTC;2,2;902,5;902,7;902,5;,3;18,3;17,5;19,1;18,3;18,3;17,5;95;94;95;57;7,6;,8;
2022/01/01;0300 UTC;,6;902;902,6;901,9;;18,3;17,7;18,3;18,1;17,8;17,4;96;95;96;48;4;,7;
2022/01/01;0400 UTC;0;901,4;902;901,4;;18,8;18,3;18,8;18,3;18,3;17,7;97;96;97;46;4,1;2,1;
2022/01/01;0500 UTC;0;901,2;901,4;901,2;;18,9;18;18,9;18,8;18,3;18;97;95;95;53;4,7;1,1;
2022/01/01;0600 UTC;0;901,1;901,2;901;;18,9;18,1;18,9;18,8;18,1;18;95;95;95;21;2,6;1,2;
2022/01/01;0700 UTC;,4;901,2;901,2;901,1;;18,8;18,1;19;18,8;18,2;18,1;96;95;96;35;3,1;1,2;
2022/01/01;0800 UTC;0;901,4;901,4;901,1;;18,8;18;18,9;18,8;18,2;18;96;95;95;31;4,1;2,3;
2022/01/01;0900 UTC;0;902,1;902,1;901,4;14,6;19,1;18,2;19,1;18,8;18,2;18;95;94;95;35;4,8;2,5;
2022/01/01;1000 UTC;0;902,6;902,6;902,1;192;19,4;18,2;19,5;19,1;18,4;18,2;95;93;93;23;5,4;2,8;
2022/01/01;1100 UTC;0;903,4;903,4;902,6;733,4;20,4;18,5;20,6;19,4;19;18,2;93;88;89;21;6,6;3,6;
2022/01/01;1200 UTC;0;904;904;903,4;899,6;21,3;19,1;21,6;20,2;19,4;18,3;89;85;87;20;7,8;2,2;
2022/01/01;1300 UTC;0;903,9;904,1;903,9;1455,3;23;18,9;23,4;21,3;19,6;18,6;87;77;78;17;7,7;3,5;
2022/01/01;1400 UTC;0;903,6;904;903,6;2262,7;24,4;19,5;24,5;22,8;19,5;18,6;80;73;74;24;7;3,9;
2022/01/01;1500 UTC;0;903;903,6;903;2064,5;24,2;18,8;24,6;23,7;19,8;18,3;76;70;72;23;8;3,6;
2022/01/01;1600 UTC;5,4;902,3;903;902,3;1161,7;20,7;19,8;25,2;20,2;20;18,1;95;68;95;83;9,4;,2;
2022/01/01;1700 UTC;4;902,3;902,5;902,1;409,1;20,6;19,5;22;20,6;21,2;19,5;95;92;94;282;3,9;,9;
2022/01/01;1800 UTC;6,4;902,1;902,4;902;245,1;20,6;19,9;20,8;20,2;20,2;19,3;96;94;96;33;3,7;,9;
2022/01/01;1900 UTC;3,4;901,8;902,1;901,8;270,5;20,2;19,2;20,9;20,1;20,2;19,2;96;93;94;18;4,2;2;
2022/01/01;2000 UTC;2;901,9;901,9;901,7;326,8;20,2;19,1;20,4;19,9;19,6;18,8;95;93;94;345;5,2;2,3;
2022/01/01;2100 UTC;,6;902,3;902,3;901,9;180,1;19,7;18,8;20,3;19,7;19,3;18,7;94;93;94;19;4;,6;
2022/01/01;2200 UTC;,2;902,5;902,5;902,2;43,8;19,3;18,6;19,7;19,3;18,8;18,5;96;94;96;65;1,6;,2;
2022/01/01;2300 UTC;0;903,2;903,2;902,5;;19,1;18,4;19,3;19;18,6;18,4;96;96;96;65;2,3;,3;
2022/01/02;0000 UTC;0;904;904;903,2;;19,2;18,6;19,2;19;18,6;18,4;97;96;97;90;1,5;,2;
2022/01/02;0100 UTC;0;904,4;904,4;904;;19,3;18,7;19,3;19,1;18,8;18,6;97;96;96;80;1,9;,1;
2022/01/02;0200 UTC;0;904,4;904,6;904,4;;19,1;18,5;19,3;19,1;18,7;18,5;96;96;96;151;1,6;0;
2022/01/02;0300 UTC;,2;903,8;904,4;903,8;;18,7;18,2;19,1;18,6;18,5;18;97;96;97;114;,6;0;
2022/01/02;0400 UTC;0;903,5;903,8;903,5;;18,3;17,8;18,8;18,2;18,3;17,7;97;96;97;54;1,3;0;
2022/01/02;0500 UTC;0;903,1;903,5;903,1;;18,8;18,2;18,9;18,2;18,2;17,7;97;96;96;64;3,6;,8;
2022/01/02;0600 UTC;0;902,9;903,2;902,9;;18,9;18,2;18,9;18,8;18,3;18,2;96;96;96;64;2,7;,4;
2022/01/02;0700 UTC;0;903;903,1;902,9;;19;18,4;19,1;18,9;18,4;18,2;96;96;96;61;2,1;,8;
