REGIAO:;SE
UF:;MG
ESTACAO:;SACRAMENTO
CODIGO (WMO):;A525
LATITUDE:;-19,87527777
LONGITUDE:;-47,43416666
ALTITUDE:;913,12
DATA DE FUNDACAO:;19/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;907,9;908,1;907,5;;19,7;17,8;19,7;18,9;18;17,3;91;88;89;40;5,5;2;
2022/01/01;0100 UTC;0;908,3;908,3;907,9;;19,8;17,8;19,8;19,6;17,9;17,8;89;88;88;27;6,9;3;
2022/01/01;0200 UTC;0;908,4;908,6;908,3;;19,9;17,7;19,9;19,7;17,8;17,7;88;87;87;35;6,9;2;
2022/01/01;0300 UTC;0;908;908,4;908;;20;17,6;20,1;19,9;17,8;17,6;87;86;86;28;6,6;2,4;
2022/01/01;0400 UTC;0;907,5;908;907,4;;19,7;17,7;20,1;19,7;17,7;17,5;88;85;88;40;6,8;2;
2022/01/01;0500 UTC;0;907,3;907,5;907,3;;19,8;17,3;19,9;19,7;17,7;17,3;88;85;85;22;6,2;2,7;
2022/01/01;0600 UTC;0;907,1;907,3;907;;19,8;17,6;19,9;19,8;17,6;17,3;87;85;87;28;7,1;2,1;
2022/01/01;0700 UTC;0;907,2;907,2;907;;19,7;17,5;19,9;19,7;17,6;17,5;87;86;87;37;5,4;1,6;
2022/01/01;0800 UTC;0;907,3;907,3;907,1;;19,6;17,5;19,7;19,6;17,6;17,5;88;87;88;31;5,3;1,7;
2022/01/01;0900 UTC;0;907,8;907,8;907,3;14,7;20;17,7;20;19,6;17,7;17,5;88;87;87;25;5,9;2,1;
2022/01/01;1000 UTC;0;908,5;908,5;907,8;219,7;20,5;17,9;20,5;20;17,9;17,7;87;85;85;27;6,2;1,9;
2022/01/01;1100 UTC;0;909,3;909,3;908,6;547,7;21,8;18,4;21,8;20,5;18,5;17,9;85;81;81;10;7;3,3;
2022/01/01;1200 UTC;0;909,8;909,8;909,3;1352,8;23,4;18,5;23,7;21,8;18,9;18,2;81;73;74;346;8,3;3,4;
2022/01/01;1300 UTC;,2;910;910;909,7;1677,8;23,3;18,6;24,9;23,2;19,1;17,9;77;68;75;338;10;3,9;
2022/01/01;1400 UTC;0;909,6;910;909,6;1840,5;25,9;19;25,9;23,3;19,4;18;76;65;66;327;7,4;3,2;
