REGIAO:;SE
UF:;MG
ESTACAO:;MANTENA
CODIGO (WMO):;A540
LATITUDE:;-18,78062
LONGITUDE:;-40,986505
ALTITUDE:;254,91
DATA DE FUNDACAO:;01/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;982,9;982,9;982,3;,7;23,8;21,7;23,8;23,6;21,8;21,6;89;88;88;88;3,4;1;
2022/01/01;0100 UTC;0;983;983;982,9;2,1;23,8;21,6;23,9;23,7;21,8;21,6;88;87;87;93;4,7;1;
2022/01/01;0200 UTC;0;982,5;983;982,4;;23,8;21,6;23,9;23,7;21,7;21,6;88;87;88;98;4,7;,6;
2022/01/01;0300 UTC;0;982,2;982,5;982,2;,4;23,7;21,4;23,8;23,6;21,7;21,4;88;87;87;92;4,9;1,1;
2022/01/01;0400 UTC;0;981,7;982,2;981,7;;23,6;21,2;23,7;23,6;21,5;21,2;88;86;86;88;4,2;1,2;
2022/01/01;0500 UTC;,2;981,3;981,7;981,3;;23,1;21,3;23,6;23,1;21,4;21,2;90;86;90;99;4,2;,5;
2022/01/01;0600 UTC;0;981,4;981,4;981,2;;23,2;20,7;23,2;23;21,4;20,7;90;86;86;105;3,2;,4;
2022/01/01;0700 UTC;0;982;982;981,4;;23,1;20,7;23,2;23;20,8;20,6;87;86;86;98;4;,6;
2022/01/01;0800 UTC;0;982,6;982,6;982;5,8;22,9;20,5;23,1;22,9;20,7;20,5;87;86;87;92;2,9;,6;
2022/01/01;0900 UTC;0;983,1;983,1;982,6;193,2;23,6;20,8;23,7;22,8;20,9;20,5;87;84;84;94;2,9;,4;
2022/01/01;1000 UTC;0;983,6;983,6;983,1;680,7;24,3;20,9;24,5;23,6;21,2;20,4;84;79;81;61;3,2;,2;
2022/01/01;1100 UTC;0;983,9;983,9;983,6;998,3;25,4;20,6;25,5;24,3;21,4;20,4;82;75;75;105;2,8;,7;
2022/01/01;1200 UTC;0;983,9;984;983,9;1471,2;26,6;20,8;26,7;25,3;21,4;20,3;77;69;70;74;3,4;1,3;
2022/01/01;1300 UTC;0;983,5;983,9;983,5;2859,1;28,6;20,4;28,6;26,6;21,6;19,2;72;59;61;70;5,1;1,8;
2022/01/01;1400 UTC;0;982,9;983,5;982,9;2895,2;29,8;20;29,8;28;21,1;18,6;64;54;56;74;5,5;1,2;
2022/01/01;1500 UTC;0;982,2;982,9;982,2;3058,6;30,1;20,1;30,5;28,8;21,1;18,1;61;50;55;78;4,8;1,3;
2022/01/01;1600 UTC;0;981,6;982,2;981,6;2339,7;29,9;20,1;31,2;29;21,6;18,3;59;50;56;101;4,6;1,1;
2022/01/01;1700 UTC;0;981;981,6;981;870,8;28,7;19,8;30;28,6;20,4;18,7;59;53;59;86;5,2;1;
2022/01/01;1800 UTC;0;980,4;981;980,4;974,3;30,1;20,6;30,1;28,3;21,1;19,2;62;56;57;45;4,7;1,2;
2022/01/01;1900 UTC;0;980;980,5;980;1483,1;29,3;19,9;30,2;29,2;20,4;19,2;58;53;57;85;5,2;1;
2022/01/01;2000 UTC;0;980,3;980,3;980;347,1;28,2;19,9;29,3;28,2;20,1;19,2;61;56;61;99;4,5;,9;
2022/01/01;2100 UTC;0;981;981;980,3;89,1;27,4;19,7;28,3;27,4;19,9;19,5;63;59;63;91;3;,5;
2022/01/01;2200 UTC;0;982,1;982,1;981;;26,5;21,1;27,4;26,5;21,1;19,5;72;62;72;97;4,6;,8;
2022/01/01;2300 UTC;0;983;983;982,1;;25,7;21,1;26,5;25,7;21,4;21,1;76;72;76;98;5,5;,7;
2022/01/02;0000 UTC;0;983,9;983,9;983;;25,3;20,7;25,8;25,2;21,2;20,7;77;76;76;84;3,8;1,3;
2022/01/02;0100 UTC;0;984;984,1;983,9;;24,7;20,4;25,3;24,7;20,7;20,3;77;75;77;86;4,2;1;
2022/01/02;0200 UTC;0;983,8;984,1;983,8;;24,3;19,9;24,7;24,2;20,4;19,9;78;76;77;105;3,6;,6;
2022/01/02;0300 UTC;0;983,5;983,8;983,5;;23,7;19,7;24,3;23,7;20,1;19,7;79;76;78;99;3,5;,9;
2022/01/02;0400 UTC;0;983,3;983,5;983,3;;23,5;19,5;23,7;23,5;19,8;19,5;79;78;78;116;3,7;1;
2022/01/02;0500 UTC;0;982,9;983,3;982,8;;23,2;19,5;23,6;23,2;19,6;19,4;80;78;80;120;3,7;,9;
2022/01/02;0600 UTC;0;983;983;982,8;;22,9;19,8;23,2;22,9;19,8;19,5;83;80;83;95;3,2;,4;
2022/01/02;0700 UTC;0;983,4;983,4;983;;22,6;19,9;22,9;22,6;19,9;19,7;84;83;84;105;3,5;,7;
2022/01/02;0800 UTC;0;983,8;983,8;983,4;11,2;22,5;19,8;22,6;22,4;19,8;19,7;85;84;85;80;3;,8;
2022/01/02;0900 UTC;0;984,5;984,5;983,8;256,3;23,3;20;23,4;22,5;20,3;19,8;85;81;82;104;3,1;,7;
2022/01/02;1000 UTC;0;985;985;984,5;706,4;24,6;20,8;24,6;23,3;20,8;19,8;82;77;80;58;3,1;,3;
2022/01/02;1100 UTC;0;985,5;985,5;985;927,1;25;20,5;25;24,4;20,7;19,6;79;74;76;89;2,9;,5;
2022/01/02;1200 UTC;0;985,6;985,7;985,5;1258,8;26,4;20,6;26,4;24,8;21,3;19,6;76;69;71;70;3,3;,4;
2022/01/02;1300 UTC;0;985,1;985,6;985,1;1860,7;27;19,9;27,1;26;20,8;19,3;72;64;65;52;3,9;,8;
2022/01/02;1400 UTC;0;984,2;985,1;984,1;2940,2;28,3;19,9;29,6;26,6;21,7;18,9;70;55;60;122;5,2;1,2;
2022/01/02;1500 UTC;0;983,4;984,2;983,4;3424,6;30,1;19,6;30,3;27,8;21,2;18,6;63;50;53;51;4,6;1,3;
2022/01/02;1600 UTC;0;982,6;983,4;982,6;2620,9;30,4;17,3;30,5;28,6;20,5;17,3;59;45;45;36;5,4;1,5;
2022/01/02;1700 UTC;0;981,5;982,6;981,5;3158,2;30;18,6;30,8;29,1;19,5;17;54;45;51;115;6,1;1,4;
2022/01/02;1800 UTC;0;980,9;981,5;980,8;1792,7;28,7;19;30,8;28,6;20,3;17,5;56;47;56;80;6,9;1,6;
2022/01/02;1900 UTC;0;980,9;980,9;980,7;1143,4;28,4;18,9;29,7;28,4;19,8;17,9;57;50;57;64;6,5;1,3;
2022/01/02;2000 UTC;0;981,1;981,1;980,9;322,9;27,6;19,4;28,4;27,6;19,7;18,9;61;56;61;104;4;,6;
