REGIAO:;SE
UF:;MG
ESTACAO:;CHAPADA GAUCHA
CODIGO (WMO):;A548
LATITUDE:;-15,30027777
LONGITUDE:;-45,61749999
ALTITUDE:;873,2
DATA DE FUNDACAO:;22/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;914,6;914,6;914;1,5;19,7;18,6;20;19,6;18,7;18,4;93;92;93;15;7,1;4,5;
2022/01/01;0100 UTC;0;915,2;915,2;914,6;1;19,7;18,7;19,8;19,7;18,7;18,6;93;93;93;10;7;3,6;
2022/01/01;0200 UTC;0;915,3;915,4;915,2;,7;19,8;18,8;19,8;19,7;18,8;18,6;94;93;94;6;6,6;4;
2022/01/01;0300 UTC;0;914,5;915,3;914,5;;19,8;18,4;19,9;19,8;18,8;18,4;94;91;91;348;6,1;4,1;
2022/01/01;0400 UTC;0;914,1;914,5;914,1;;19,7;18,1;19,8;19,6;18,4;18,1;93;91;91;354;7,4;5,1;
2022/01/01;0500 UTC;0;913,7;914,1;913,7;,8;19,4;18,1;19,7;19,4;18,1;18,1;92;91;92;353;7,4;3,3;
2022/01/01;0600 UTC;0;913,3;913,7;913,3;,8;19,3;17,9;19,5;19,3;18,1;17,9;92;91;91;358;5,7;3,6;
2022/01/01;0700 UTC;0;913,4;913,4;913,2;;19,2;17,8;19,4;19,1;17,9;17,7;92;91;92;359;5,8;3;
2022/01/01;0800 UTC;,2;913,8;913,8;913,4;,4;19,2;17,8;19,3;19,2;17,9;17,8;92;91;91;349;5,2;3,5;
2022/01/01;0900 UTC;0;914,3;914,3;913,8;7,2;19,4;17,8;19,4;19,2;17,8;17,8;91;90;91;352;6,1;3,5;
2022/01/01;1000 UTC;0;914,8;914,8;914,3;136,3;19,8;18,1;19,8;19,4;18,1;17,8;91;90;90;355;6,1;3,8;
2022/01/01;1100 UTC;0;915,4;915,4;914,8;560,2;20,8;18,7;20,9;19,8;18,9;18,1;90;88;88;357;6,3;4;
2022/01/01;1200 UTC;0;915,7;915,7;915,4;1177,2;22,4;19,2;22,5;20,8;19,6;18,6;88;82;82;344;8,5;4,9;
2022/01/01;1300 UTC;0;915,7;915,8;915,7;2572,3;24,7;18,4;24,7;22,4;19,4;18,2;82;68;68;346;9,3;6;
2022/01/01;1400 UTC;0;915,4;915,7;915,4;2259,9;25,2;19,1;25,6;24,2;19,2;17,7;71;66;69;4;10;5,3;
2022/01/01;1500 UTC;0;914,8;915,4;914,7;2252,5;25,3;18,7;25,9;24,7;19,7;18,3;70;66;67;24;10,7;6,6;
2022/01/01;1600 UTC;0;914,1;914,8;914,1;1664,4;23,5;20,2;25,6;22,5;20,6;18,4;86;66;81;27;12,1;4,9;
2022/01/01;1700 UTC;0;912,9;914,1;912,9;2266,2;26,5;18,9;26,9;23,6;21,2;18,3;82;61;63;1;9,6;6,1;
2022/01/01;1800 UTC;0;911,8;912,9;911,8;2055,6;26,8;18,4;27,5;26,2;20;17,6;64;57;60;20;10,4;7,1;
2022/01/01;1900 UTC;,2;911,9;912;911,7;1754,6;24,3;19,1;28,1;24,3;20,6;18,3;74;60;73;47;11,2;6,7;
2022/01/01;2000 UTC;0;912,6;912,8;911,8;485,5;20,6;19,4;25,2;20,6;20,1;18,9;93;69;93;358;13,5;5,3;
2022/01/01;2100 UTC;0;913,3;913,4;912,6;47,6;20,3;19,2;21,2;19,8;19,9;18,7;94;92;93;296;10,3;1,4;
2022/01/01;2200 UTC;0;914,1;914,1;913,3;11;20,1;18,6;20,6;20;19,2;18,6;93;91;91;31;4,6;2,2;
2022/01/01;2300 UTC;0;914,9;914,9;914,1;5,2;20,4;19;20,6;20,1;19;18,6;92;89;92;353;4,5;1,9;
2022/01/02;0000 UTC;0;915,9;915,9;914,9;2,3;20,5;19,2;20,5;20,3;19,2;19;93;92;93;14;5,5;3,6;
2022/01/02;0100 UTC;0;916,5;916,5;915,9;1,7;20,3;19,1;20,6;20,3;19,5;19,1;93;93;93;20;5,5;2,5;
2022/01/02;0200 UTC;0;916,4;916,6;916,4;,7;20,2;19,2;20,3;20,2;19,3;19,1;94;93;94;10;5,6;3,2;
2022/01/02;0300 UTC;0;915,7;916,4;915,7;1,2;20,3;19,2;20,4;20,2;19,4;19,2;94;93;93;353;6,7;4,3;
