REGIAO:;SE
UF:;RJ
ESTACAO:;PARATI
CODIGO (WMO):;A619
LATITUDE:;-23,2236111
LONGITUDE:;-44,72694443
ALTITUDE:;3
DATA DE FUNDACAO:;19/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;1007,7;1007,7;1007,2;;23;22,5;23;22,8;22,5;22,3;97;97;97;274;1,6;,3;
2022/01/01;0100 UTC;,4;1008,3;1008,3;1007,8;;23;22,5;23,1;22,8;22,7;22,4;98;97;98;261;1,5;,5;
2022/01/01;0200 UTC;3,6;1008,1;1008,5;1008;;22,8;22,5;23;22,8;22,6;22,4;98;98;98;238;1,4;,5;
2022/01/01;0300 UTC;4,8;1007,6;1008,1;1007,6;;22,6;22,5;22,9;22,6;22,5;22,3;99;98;99;263;2,1;0;
2022/01/01;0400 UTC;1,6;1007;1007,7;1007;;22,7;22,6;22,7;22,6;22,7;22,5;100;99;100;247;2,1;,3;
2022/01/01;0500 UTC;,2;1006,5;1007,1;1006,5;;22,7;22,7;22,7;22,6;22,7;22,6;100;100;100;292;1,4;0;
2022/01/01;0600 UTC;0;1005,7;1006,5;1005,7;;22,7;22,7;22,9;22,6;22,9;22,6;100;100;100;307;3,3;,6;
2022/01/01;0700 UTC;0;1005,8;1005,8;1005,6;;22,6;22,6;22,7;22,6;22,7;22,6;100;100;100;266;3,3;1,6;
2022/01/01;0800 UTC;0;1006;1006;1005,5;;22,6;22,6;22,6;22,4;22,6;22,4;100;100;100;263;2,9;1,3;
2022/01/01;0900 UTC;0;1006,6;1006,6;1006;9;22,5;22,5;22,6;22,3;22,6;22,3;100;100;100;267;3,6;2;
2022/01/01;1000 UTC;0;1007,3;1007,3;1006,6;143,9;22,8;22,7;22,9;22,4;22,8;22,4;100;99;99;270;4,1;1;
2022/01/01;1100 UTC;0;1008,4;1008,4;1007,3;280,8;23,5;22,7;23,5;22,8;22,8;22,5;99;95;95;225;4,1;,9;
2022/01/01;1200 UTC;,2;1009;1009;1008,4;711,8;24,7;23;24,7;23,5;23;22,6;95;90;90;259;3,6;1,6;
2022/01/01;1300 UTC;0;1009;1009,1;1008,9;1521,9;26,7;21,6;26,7;24,7;23,2;21,6;90;74;74;294;2,8;,9;
2022/01/01;1400 UTC;0;1009;1009,2;1009;1748,2;27,8;23,2;28,4;26,5;23,2;21,4;77;70;76;79;3,2;,9;
2022/01/01;1500 UTC;0;1008,6;1009,1;1008,6;2767,1;28;23,2;28,6;27,3;24,1;22,4;80;71;75;62;3,6;1,6;
2022/01/01;1600 UTC;0;1008;1008,7;1008;1494,3;28;22,2;28,6;27,5;23,3;22,2;77;71;71;73;3,8;1,9;
2022/01/01;1700 UTC;0;1007,4;1008;1007,4;2371,6;28,7;22,6;29;27,6;23,3;21,8;73;68;69;56;4,3;1,9;
2022/01/01;1800 UTC;0;1007,6;1007,7;1007,2;2066;27,8;22,2;29,2;27,8;23,1;21,5;72;67;72;51;4,5;1,9;
2022/01/01;1900 UTC;0;1007,5;1007,6;1007,4;1071,3;27,8;22,1;28,2;27,6;22,6;20,5;73;63;71;58;4,1;1,1;
2022/01/01;2000 UTC;0;1007,8;1007,8;1007,4;704;27,4;22;27,8;27,4;22,4;21,7;73;70;72;54;3,3;1,1;
2022/01/01;2100 UTC;0;1008,3;1008,3;1007,8;289,4;26,7;22,3;27,5;26,7;22,4;21,8;77;72;77;124;2,2;,1;
2022/01/01;2200 UTC;0;1009,1;1009,1;1008,3;20,5;24,9;22,9;26,7;24,9;23,1;22,3;88;77;88;143;,9;,1;
2022/01/01;2300 UTC;0;1009,6;1009,6;1009,1;;24,4;23,1;24,9;24,4;23,1;22,8;93;88;93;269;2,2;1,2;
