REGIAO:;SE
UF:;SP
ESTACAO:;TAUBATE
CODIGO (WMO):;A728
LATITUDE:;-23,04166666
LONGITUDE:;-45,52083332
ALTITUDE:;582,26
DATA DE FUNDACAO:;20/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;0;;943,4;942,9;320,8;20,6;18,7;20,7;19,6;19,4;18,5;93;89;89;357;2,7;,8;
2022/01/01;1000 UTC;0;;;;;;;;;;;;;;;;;
2022/01/01;1100 UTC;0;944,7;944,7;944,3;1059,7;23,5;16,9;23,6;21,6;17,8;16,9;77;67;67;18;4,4;1,7;
2022/01/01;1200 UTC;0;;945;944,7;1087,2;24,2;17,1;24,2;23,5;18,1;16,9;70;64;65;341;5,1;1,3;
2022/01/01;1300 UTC;0;;945,2;945;1136,8;25,2;17,6;25,2;24,3;18,3;16,8;67;62;63;316;2,7;,9;
2022/01/01;1400 UTC;0;944,8;945,3;944,8;1885,1;26,3;17,5;26,6;25;18,6;16,3;65;55;58;359;4;1,8;
2022/01/01;1500 UTC;0;944;944,8;944;1899,5;26,9;18,2;27;26;18,7;16,9;62;56;59;28;5,4;3,2;
2022/01/01;1600 UTC;0;943,2;944;943,2;2704,5;27,6;17,8;27,8;26,8;18,7;17,2;60;53;55;5;6,5;3,6;
2022/01/01;1700 UTC;0;943,2;943,2;943;2664,6;28,2;17,9;28,6;27,3;18,2;16,7;56;49;54;5;6;1,9;
2022/01/01;1800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1900 UTC;0;;943;942,5;654,1;27;18,1;27,7;27;18,4;17,3;58;54;58;283;5,4;2,4;
