REGIAO:;SE
UF:;SP
ESTACAO:;VOTUPORANGA
CODIGO (WMO):;A729
LATITUDE:;-20,40333333
LONGITUDE:;-49,96611111
ALTITUDE:;510,37
DATA DE FUNDACAO:;04/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;954,5;954,5;953,1;;20,9;19,5;21,6;20,9;20,3;19,5;93;92;92;56;3,1;0;
2022/01/01;0100 UTC;;954,9;955;954,5;;20,9;19,6;21;20,8;19,8;19,5;92;92;92;351;2;,1;
2022/01/01;0200 UTC;;954,4;955;954,4;;20,9;19,6;21,1;20,6;19,8;19,3;92;92;92;345;1,8;,2;
2022/01/01;0300 UTC;;953,7;954,4;953,6;;20,9;19,6;20,9;20,7;19,6;19,3;92;92;92;330;1,8;0;
2022/01/01;0400 UTC;;953,4;953,7;953,3;;21,3;19,9;21,4;20,7;19,9;19,4;92;92;92;295;2,4;,2;
2022/01/01;0500 UTC;;953,3;953,5;953,2;;21,1;19,5;21,6;21,1;20;19,5;92;90;91;356;2,6;0;
2022/01/01;0600 UTC;;953,4;953,4;953,2;;21,2;19,7;21,3;21,1;19,7;19,5;91;91;91;350;2,6;,5;
2022/01/01;0700 UTC;;953,6;953,6;953,3;;21,3;19,7;21,3;21,2;19,7;19,6;91;90;90;4;3;,4;
2022/01/01;0800 UTC;;954,1;954,1;953,6;;21,2;19,3;21,3;21,2;19,7;19,3;90;89;89;15;3,7;1;
2022/01/01;0900 UTC;;954,8;954,8;954,1;141,2;21,8;19,9;21,8;21,1;19,9;19,3;90;89;89;352;3,2;,4;
2022/01/01;1000 UTC;;955,6;955,6;954,7;532,3;23,1;20,3;23,1;21,8;20,4;19,9;89;84;84;355;5,3;2,8;
2022/01/01;1100 UTC;;956,2;956,2;955,5;1077,7;24,8;20,5;24,8;23;20,6;20;85;77;77;326;6,2;2,9;
2022/01/01;1200 UTC;;956,4;956,5;956,2;1953,7;26,6;20,4;26,9;24,6;21,1;19,8;77;66;69;330;7,5;3,1;
2022/01/01;1300 UTC;;956,4;956,5;956,3;2195,1;28,4;19,7;28,4;26,1;20,5;19,1;69;59;59;333;8,1;2,4;
2022/01/01;1400 UTC;;956,2;956,4;956,2;1609,7;27,1;19,2;28,4;27;20,2;18,6;64;59;62;335;7,4;2,7;
2022/01/01;1500 UTC;;956;956,2;956;1486,2;27,1;19,2;27,3;26,8;20,1;19;66;61;62;329;6,7;2,8;
2022/01/01;1600 UTC;;954,8;956;954,8;2117,7;28,5;20,7;28,5;26,9;20,9;19,3;66;62;63;324;6,7;1,9;
2022/01/01;1700 UTC;;953,8;954,9;953,8;2234,2;28,1;19,7;29,3;28,1;21,2;19,5;64;59;60;327;6,4;2,5;
2022/01/01;1800 UTC;;953,2;953,8;953,2;1645,2;28,6;20,1;29,1;28,1;20,5;19,4;62;57;60;347;6,4;2,5;
2022/01/01;1900 UTC;;953,1;953,2;953;1268;28,6;18,4;28,8;28,1;20,4;17,9;61;54;54;353;5,8;2,4;
2022/01/01;2000 UTC;;953,4;953,4;953;975,9;29;17,5;29,4;28;18,6;16,9;54;48;50;327;5,3;1,1;
2022/01/01;2100 UTC;;954;954;953,4;333,8;27,4;18,1;29,6;27,2;18,9;17,1;60;48;57;4;3,5;,9;
2022/01/01;2200 UTC;;954,4;954,5;954;2,6;24,8;19,9;27,4;24,8;20,2;18;76;57;74;3;1,9;,2;
2022/01/01;2300 UTC;;955,3;955,3;954,4;;25;19,6;25,5;24,8;20,2;19,6;74;70;72;25;3,6;1,6;
2022/01/02;0000 UTC;;956,2;956,2;955,3;;24;19,8;25;24;19,8;19,3;77;71;77;39;3,6;1,1;
2022/01/02;0100 UTC;;956,4;956,4;956,1;;23,7;20,5;24,1;23,7;20,5;19,8;82;77;82;26;4,3;1,8;
2022/01/02;0200 UTC;;956,2;956,5;956,2;;23,2;20,5;23,7;23,1;20,6;20,4;85;82;85;36;3,7;1,2;
2022/01/02;0300 UTC;;955,7;956,2;955,7;;22,6;20,3;23,2;22,6;20,5;20,3;87;85;87;30;3,5;,5;
2022/01/02;0400 UTC;;955,5;955,7;955,4;;22,5;20;22,7;22,5;20,4;20;87;85;86;29;3,2;,4;
2022/01/02;0500 UTC;;955,3;955,5;955,1;;22,5;20;22,5;22,3;20,1;19,9;87;86;86;27;3,2;1,1;
2022/01/02;0600 UTC;;955,6;955,7;955,3;;22,5;20,1;22,7;22,5;20,1;20;86;85;86;26;2,5;,3;
2022/01/02;0700 UTC;;955,9;955,9;955,6;;22;20,2;22,5;21,9;20,2;19,9;89;86;89;45;2,2;0;
2022/01/02;0800 UTC;;956,3;956,3;955,9;;21,9;20,4;22,2;21,9;20,4;20,2;91;89;91;31;2,6;,4;
2022/01/02;0900 UTC;;957;957;956,3;76,7;22,2;20,6;22,3;21,9;20,7;20,4;91;91;91;42;2,6;0;
