REGIAO:;SE
UF:;SP
ESTACAO:;VALPARAISO
CODIGO (WMO):;A734
LATITUDE:;-21,31916666
LONGITUDE:;-50,93027777
ALTITUDE:;381,9
DATA DE FUNDACAO:;30/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;962,7;962,7;962,1;;22,7;17,9;24;22,7;18,2;17,8;74;70;74;46;1,9;0;
2022/01/01;0100 UTC;0;963,7;963,7;962,7;;22,1;17,9;22,8;22,1;18,3;17,7;77;74;77;43;3,2;0;
2022/01/01;0200 UTC;0;963,8;963,9;963,6;;22,1;18,3;22,4;21,9;18,4;17,9;79;77;79;81;2,8;1;
2022/01/01;0300 UTC;0;963,5;963,9;963,5;;22,1;18,6;22,2;21,6;18,7;17,9;81;79;81;33;3,4;1,3;
2022/01/01;0400 UTC;0;963,2;963,5;963,2;;22;18,9;22,2;21,8;18,9;18,4;83;80;82;202;3,3;,2;
2022/01/01;0500 UTC;0;962,5;963,2;962,5;;21,7;18,8;22;21,6;19;18,7;84;82;84;83;1,4;0;
2022/01/01;0600 UTC;0;962,4;962,7;962,3;;21,2;18,5;21,7;21,2;18,8;18,4;85;84;85;10;1,2;0;
2022/01/01;0700 UTC;0;962,6;962,7;962,4;;20,6;18,1;21,4;20,6;18,8;18;85;85;85;70;1,4;0;
2022/01/01;0800 UTC;0;962,8;962,8;962,5;;21,2;18,7;21,4;20,6;18,9;18;86;85;86;88;2,5;,5;
2022/01/01;0900 UTC;0;963,1;963,1;962,8;1,3;20,6;18,3;21,2;20,4;18,7;18,2;87;86;87;43;4,3;2,2;
2022/01/01;1000 UTC;0;964,4;964,4;963,1;126,1;21,4;19,2;21,4;20,6;19,3;18,4;88;87;88;20;4,3;0;
2022/01/01;1100 UTC;0;965,3;965,3;964,4;481,2;22,8;20,6;22,8;21,4;20,6;19,2;88;87;87;2;1;0;
