REGIAO:;SE
UF:;SP
ESTACAO:;BARRA BONITA
CODIGO (WMO):;A741
LATITUDE:;-22,4711111
LONGITUDE:;-48,5575
ALTITUDE:;533,68
DATA DE FUNDACAO:;24/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1100 UTC;0;949;949;948,3;634,2;23,5;19,9;23,5;21,9;20,2;19,5;90;80;80;193;3,5;,4;
2022/01/01;1200 UTC;0;949,6;949,6;949;917,2;24,6;19,6;24,6;23,4;20,1;19,5;80;73;73;200;4,7;1;
2022/01/01;1300 UTC;0;950;950;949,6;1599,3;25,4;19,6;25,7;24,4;19,8;19,2;75;69;70;179;6,1;,7;
2022/01/01;1400 UTC;0;949,5;950;949,5;1183,9;26,1;19,3;26,3;25,2;20;19;70;66;66;112;6,3;1,3;
2022/01/01;1500 UTC;0;948,9;949,5;948,9;1084,7;26;20,5;26,9;25,8;20,5;19,2;72;65;72;224;4,4;,2;
2022/01/01;1600 UTC;0;948,7;949,2;948,7;461,8;24,5;20,2;26,1;23,1;20,4;18,6;80;70;77;92;8,3;1,4;
2022/01/01;1700 UTC;0;948;948,8;948;711,5;24,2;20,5;24,5;24;20,6;19,5;80;74;80;121;4,2;1,9;
2022/01/01;1800 UTC;0;947,1;948;947,1;1171,8;26;20,6;26,8;24,3;21,1;19,7;80;68;72;63;4,2;,5;
2022/01/01;1900 UTC;0;946,7;947,3;946,7;1485,6;26,7;20,4;27,3;25,4;21,3;20;76;67;68;161;6;1,1;
