REGIAO:;SE
UF:;SP
ESTACAO:;BARUERI
CODIGO (WMO):;A755
LATITUDE:;-23,52388888
LONGITUDE:;-46,86944443
ALTITUDE:;776,5
DATA DE FUNDACAO:;29/03/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;922,1;922,1;921,4;;18,7;17,8;19,1;18,7;18;17,7;94;94;94;136;1,1;,1;
2022/01/01;0100 UTC;,2;922,2;922,4;921,8;;18,8;18;19,2;18,7;18,5;17,8;95;94;95;81;1,7;,8;
2022/01/01;0200 UTC;0;922,2;922,6;922,2;;18,5;17,9;18,9;18,5;18,2;17,9;96;95;96;176;2,1;,3;
2022/01/01;0300 UTC;0;921,9;922,2;921,9;;18,3;17,7;18,7;18,3;18,1;17,6;96;96;96;222;1,9;,3;
2022/01/01;0400 UTC;0;921,1;921,9;921,1;;18;17,4;18,4;17,9;17,8;17,2;96;96;96;341;1,6;0;
2022/01/01;0500 UTC;0;920,6;921,1;920,6;;17,7;17,2;18,2;17,6;17,6;17;96;96;96;237;1;,2;
2022/01/01;0600 UTC;0;920,6;920,6;920,4;;17,9;17,4;18;17,5;17,4;16,9;97;96;97;240;1,5;,1;
2022/01/01;0700 UTC;0;920,6;920,7;920,6;;17,6;17,1;17,9;17,5;17,4;17;97;97;97;62;,9;0;
2022/01/01;0800 UTC;0;921,1;921,1;920,6;;17,4;16,8;17,9;17,4;17,4;16,8;97;97;97;31;,9;0;
2022/01/01;0900 UTC;0;921,9;921,9;921,1;;18,2;17,6;18,2;17,1;17,6;16,6;97;97;97;46;,6;0;
2022/01/01;1000 UTC;0;922,6;922,6;921,9;;19,1;18,5;19,1;18,1;18,5;17,6;97;97;97;245;1,3;,2;
2022/01/01;1100 UTC;0;923,1;923,1;922,6;;20,6;19,3;20,6;19,1;19,9;18,6;97;92;92;261;2,6;1;
2022/01/01;1200 UTC;0;923,5;923,5;923,1;;22,5;18,6;22,6;20,6;19,5;18,3;92;77;79;243;3,5;1,5;
2022/01/01;1300 UTC;0;923,7;923,7;923,5;;23,9;19,2;23,9;22,4;19,3;18,4;79;75;75;222;4,3;1,4;
2022/01/01;1400 UTC;0;923,3;923,8;923,3;;25,3;18,4;25,3;23,8;20;18,2;77;65;66;235;6,5;2,8;
2022/01/01;1500 UTC;0;922,7;923,3;922,7;;24,8;18,4;27,1;24,8;20,4;18;72;61;67;207;7;2,4;
2022/01/01;1600 UTC;1;922,6;923,2;922,6;;23,3;20,5;24,8;21,4;20,7;18,3;88;67;84;277;7,3;1,2;
2022/01/01;1700 UTC;0;922,3;922,6;922,1;;25,2;18,9;26,5;23,3;21,6;18,4;85;62;68;188;6,1;2,3;
2022/01/01;1800 UTC;0;922,1;922,3;922;;23,2;19;26;23,2;19,6;18,7;77;66;77;267;6,3;2,5;
2022/01/01;1900 UTC;2,8;921,7;922,4;921,7;;21,6;19,5;23,2;20,9;20,7;18,6;92;77;88;269;7,8;1,4;
2022/01/01;2000 UTC;0;921,9;922;921,6;;22,8;19,8;22,8;21,6;20,1;19,1;89;83;83;286;3,8;,6;
2022/01/01;2100 UTC;0;922,4;922,4;921,9;;22,4;19,7;23,3;22,4;19,8;19,2;85;80;85;314;3,8;,9;
2022/01/01;2200 UTC;0;922,5;922,5;922,3;;21,5;18,5;22,4;21,5;19,8;18,5;85;80;83;272;3,2;,9;
2022/01/01;2300 UTC;0;923,3;923,4;922,5;;21,1;18,2;21,6;21;18,6;18,2;85;83;84;256;4,4;1,7;
2022/01/02;0000 UTC;,2;924,1;924,1;923,3;;20,4;18,5;21,1;20,2;18,5;18,1;89;84;89;244;4,2;,9;
2022/01/02;0100 UTC;0;924,4;924,4;924;;20;18,8;20,4;19,3;18,8;17,9;93;88;93;285;2,1;,4;
2022/01/02;0200 UTC;0;924,4;924,5;924,3;;19,3;18,1;20,4;19,3;18,9;17,9;93;90;92;87;1,5;,3;
2022/01/02;0300 UTC;0;924,1;924,4;924,1;;19,8;18,7;19,8;19,1;18,7;17,9;94;92;93;331;1,5;0;
2022/01/02;0400 UTC;0;923,5;924,1;923,5;;20,1;18,4;20,4;19,8;18,9;18,4;93;90;90;279;1,2;,2;
2022/01/02;0500 UTC;0;923,4;923,5;923,3;;19,7;18,2;20,3;19,7;18,8;18,2;91;90;91;252;1,5;,1;
2022/01/02;0600 UTC;0;923,5;923,5;923,1;;19,3;18,2;20;18,9;18,6;17,7;94;91;94;74;1,4;,2;
2022/01/02;0700 UTC;0;923,8;923,9;923,5;;19,3;18,4;19,8;19,2;18,8;18,2;94;94;94;185;1,7;1;
2022/01/02;0800 UTC;0;924,2;924,2;923,8;;18,9;18;19,6;18,9;18,7;18;95;94;94;85;1,7;,1;
2022/01/02;0900 UTC;0;924,9;924,9;924,2;;19,3;18,5;19,4;18,8;18,6;17,9;95;94;95;60;,8;0;
2022/01/02;1000 UTC;0;925,4;925,4;924,9;;20,2;19,3;20,2;19,3;19,4;18,5;95;95;95;337;,7;0;
2022/01/02;1100 UTC;0;925,8;925,8;925,4;;22,1;19,3;22,2;20,2;20,1;19,3;95;84;84;282;2,2;,9;
2022/01/02;1200 UTC;0;926;926;925,8;;24,3;19,2;24,3;22,1;19,7;18,8;84;72;73;254;4,2;1,8;
2022/01/02;1300 UTC;0;926,1;926,1;926;;25,2;18,7;25,4;23,9;19,9;18,4;73;67;67;205;5,4;,9;
2022/01/02;1400 UTC;0;925,4;926,1;925,4;;26,3;17,9;27,2;25,2;20;17,7;70;58;60;274;4,6;1,7;
2022/01/02;1500 UTC;0;924,7;925,4;924,7;;26,2;19,5;26,3;23,2;19,8;17,8;77;60;67;185;5,7;,7;
2022/01/02;1600 UTC;0;923,8;924,7;923,7;;28;17,8;28,5;26;21,2;17,5;71;53;54;247;4,4;1,7;
2022/01/02;1700 UTC;0;923,3;923,8;923,3;;28,5;18,7;29;27,7;19,5;17,5;59;51;55;216;4,4;,9;
2022/01/02;1800 UTC;0;922,6;923,3;922,5;;25,8;17,7;30,1;25,8;20,6;16,4;61;49;61;117;7,7;3,9;
2022/01/02;1900 UTC;4;922,6;922,7;922,4;;22,4;20,8;25,8;21,4;20,8;17,7;91;61;91;235;6,9;1,6;
2022/01/02;2000 UTC;1,8;922,8;922,8;922,5;;22,1;20,4;22,7;21,6;21,1;19,6;91;88;90;351;4,7;1,6;
2022/01/02;2100 UTC;0;923;923,1;922,5;;21,4;19,9;22,3;21,1;20,6;19,6;91;89;91;26;3,3;,6;
2022/01/02;2200 UTC;0;923,4;923,4;923;;20,6;19,3;21,7;20,6;20,1;19,3;92;90;92;113;2,3;,6;
2022/01/02;2300 UTC;0;924,2;924,2;923,4;;20,7;19,7;20,9;20,5;19,7;19,2;94;92;94;92;2,1;1,1;
2022/01/03;0000 UTC;0;924,6;924,6;924,2;;21,3;20,3;21,3;20,6;20,3;19,7;95;94;94;266;2,3;,1;
2022/01/03;0100 UTC;0;925,2;925,2;924,6;;21,2;20,2;21,3;20,8;20,3;19,7;94;93;94;353;1;,1;
2022/01/03;0200 UTC;0;925,5;925,6;925,2;;21,2;20,1;21,4;20,8;20,3;19,8;94;94;94;7;1,4;,3;
2022/01/03;0300 UTC;0;924,8;925,5;924,8;;21,3;19,8;21,6;21,1;20,4;19,7;94;91;91;298;1,4;,1;
2022/01/03;0400 UTC;0;924,2;924,8;924,2;;21,1;20;21,3;20,5;20;19,3;93;91;93;353;1,3;,5;
2022/01/03;0500 UTC;0;924;924,3;923,9;;21;19,4;21,3;21;20;19,4;93;91;91;309;1,3;,1;
2022/01/03;0600 UTC;0;923,7;924;923,6;;20,6;19,4;21,3;20,4;19,7;19,1;93;90;92;5;1,2;,5;
2022/01/03;0700 UTC;0;923,9;923,9;923,6;;20,7;19,4;21;20,4;19,7;19,1;93;92;93;306;1,1;,1;
2022/01/03;0800 UTC;0;924,3;924,3;923,9;;20,8;19,7;20,8;20,1;19,8;19;94;92;93;302;1;,4;
2022/01/03;0900 UTC;0;924,8;924,8;924,3;;20,4;19,4;20,8;20,3;19,7;19,2;94;93;94;97;1,5;,2;
2022/01/03;1000 UTC;0;925,3;925,3;924,8;;21,9;20,7;21,9;20,4;20,7;19,4;94;93;93;155;1,2;,3;
2022/01/03;1100 UTC;0;925;925,3;925;;23,7;20;23,7;21,9;20,9;19,6;93;78;80;252;3,4;1,4;
2022/01/03;1200 UTC;0;925,1;925,2;925;;25;19,6;25,1;23,8;20,3;19,1;80;71;72;258;4,2;1,7;
2022/01/03;1300 UTC;0;925;925,3;925;;27,4;19,5;27,5;24,9;20,4;19,1;73;62;62;256;4,6;1,9;
2022/01/03;1400 UTC;0;924,1;925;924,1;;28,3;19,6;28,3;26,9;20,6;18,2;66;55;59;282;5,1;1,3;
2022/01/03;1500 UTC;0;923,6;924,1;923,5;;24,6;19,5;29,5;24,6;21,2;17,6;73;51;73;137;7,6;3,9;
2022/01/03;1600 UTC;0;922,9;923,6;922,9;;23,7;20,5;24,6;23,3;20,5;19,3;82;73;82;123;7,6;2,1;
2022/01/03;1700 UTC;,2;922,3;922,8;922,2;;27,4;20;27,9;23,7;22,2;20;83;63;64;94;5,5;2,7;
2022/01/03;1800 UTC;0;922;922,3;921,7;;25,6;18,8;28,6;25,6;20,7;18,4;67;57;66;340;8,9;2,8;
