REGIAO:;SE
UF:;SP
ESTACAO:;MARILIA
CODIGO (WMO):;A763
LATITUDE:;-22,235222
LONGITUDE:;-49,965111
ALTITUDE:;660
DATA DE FUNDACAO:;15/05/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;931,7;931,7;931;;24,7;20,7;25,7;24,7;20,7;19,3;79;68;79;360;3,1;1,2;
2022/01/01;0100 UTC;0;932,8;932,8;931,7;;24;20,5;24,7;24;20,9;20,3;81;78;81;50;3,1;,6;
2022/01/01;0200 UTC;0;933,4;933,5;932,8;;23,3;21;24;22,9;21,1;20,6;89;81;87;35;3,2;,7;
2022/01/01;0300 UTC;0;933;933,4;933;;23,9;19,7;23,9;23,3;20,9;19,7;87;78;78;360;3;1,5;
2022/01/01;0400 UTC;0;932,4;933;932,4;;23,4;20,4;24;23,4;20,4;19,5;83;76;83;40;4,7;1,9;
2022/01/01;0500 UTC;0;932,3;932,4;932,3;;21,9;20,9;23,4;21,9;21,2;20,4;94;83;94;132;4,2;1,4;
2022/01/01;0600 UTC;0;931,7;932,3;931,6;;21,8;21,5;21,9;21,7;21,5;20,9;98;94;98;41;4,7;1,8;
2022/01/01;0700 UTC;0;931,8;931,8;931,6;;21,5;21,2;21,8;21,5;21,5;21,2;99;97;98;42;5,4;2;
2022/01/01;0800 UTC;0;932;932;931,8;;20,9;20,9;21,5;20,9;21,2;20,9;100;98;100;39;5,7;2;
2022/01/01;0900 UTC;0;932,7;932,7;932;;21;21;21;20,8;21;20,8;100;100;100;43;6,3;1,1;
2022/01/01;1000 UTC;0;933,4;933,4;932,7;148,7;21,1;21;21,2;20,9;21,2;20,9;100;99;99;34;4,3;1,7;
2022/01/01;1100 UTC;0;934,2;934,2;933,4;736,1;22,1;20,7;22,2;21,1;21,1;20,5;99;91;92;31;7,4;2,6;
2022/01/01;1200 UTC;0;934,8;934,8;934,1;1001,1;23;21;23;21,7;21,3;20,5;95;89;89;14;7,4;1,7;
