REGIAO:;SE
UF:;SP
ESTACAO:;BEBEDOURO
CODIGO (WMO):;A764
LATITUDE:;-20,94916666
LONGITUDE:;-48,48999999
ALTITUDE:;790
DATA DE FUNDACAO:;27/10/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;939,2;939,2;938,2;;21,6;21,5;22,3;21,6;21,5;19,8;99;87;99;97;5,2;1,7;
2022/01/01;0100 UTC;1,8;940,1;940,2;939,2;;20,6;20,6;21,7;20,6;21,6;20,6;100;97;100;28;6;2,5;
2022/01/01;0200 UTC;,6;940;940,2;939,9;;20,6;20,6;20,6;20,4;20,6;20,4;100;100;100;32;4,6;1,5;
2022/01/01;0300 UTC;0;939,4;940;939,4;;20,6;20,6;20,7;20,4;20,7;20,4;100;100;100;47;4;1,3;
2022/01/01;0400 UTC;0;938,9;939,5;938,8;;20,4;20,4;20,6;20,4;20,6;20,4;100;100;100;48;4,3;2,7;
2022/01/01;0500 UTC;0;938,9;939,1;938,8;;20,1;20,1;20,4;20,1;20,4;20,1;100;100;100;33;5,8;2,8;
2022/01/01;0600 UTC;0;938,7;938,9;938,6;;20,1;20,1;20,2;20,1;20,1;20,1;100;100;100;28;5,8;2,3;
2022/01/01;0700 UTC;0;938,5;938,7;938,5;;20,3;20,3;20,3;20,1;20,3;20,1;100;100;100;36;5,6;1,9;
2022/01/01;0800 UTC;0;938,8;938,8;938,4;;20,6;20,6;20,6;20,3;20,6;20,3;100;100;100;24;5,5;2,5;
2022/01/01;0900 UTC;0;939,5;939,5;938,8;10,5;20,4;20,4;20,7;20,4;20,7;20,4;100;100;100;22;5,6;2,2;
2022/01/01;1000 UTC;0;940,1;940,1;939,5;189,8;21;21;21;20,4;21;20,4;100;100;100;12;4,4;2,4;
2022/01/01;1100 UTC;0;941,3;941,3;940,1;361,3;21,6;21,6;21,6;21;21,6;21;100;100;100;23;5,9;2,8;
2022/01/01;1200 UTC;0;941,7;941,7;941,2;879,6;22,8;21,6;23,1;21,6;22,6;21,4;100;91;92;21;6,6;3,4;
2022/01/01;1300 UTC;0;941,9;942;941,7;1578,1;25,1;20,9;25,1;22,8;22,4;20,9;94;78;78;353;7,4;3,5;
2022/01/01;1400 UTC;0;942;942,1;941,9;1856,2;25,1;19,6;25,4;24,6;21,8;19,6;82;71;71;13;7,4;3,6;
2022/01/01;1500 UTC;0;941,4;942;941,4;2506,2;27,1;19,4;27,4;24,7;20,8;19,3;74;63;63;342;7,8;3,2;
2022/01/01;1600 UTC;0;940,7;941,4;940,7;2521,2;27,1;19,8;27,8;26,7;20,6;19,3;67;62;64;338;8,3;2,7;
2022/01/01;1700 UTC;0;940,2;940,7;940,1;2129,2;26,8;20,7;27,6;26,5;21,2;19,8;71;64;69;326;8,5;3,5;
2022/01/01;1800 UTC;0;939,2;940,2;939,1;1970,2;26,7;20,4;27,6;26,5;21,4;20;71;65;68;311;8;2,3;
2022/01/01;1900 UTC;0;939,2;939,4;939,2;1833,3;28,3;20,6;28,4;26,4;21,2;19,9;71;62;63;329;5,9;2,3;
2022/01/01;2000 UTC;0;939,4;939,4;939,1;1258,7;26,9;19,7;28,3;26,8;21,3;19,6;71;62;65;300;5,2;1,5;
2022/01/01;2100 UTC;0;939,1;939,4;938,9;562,6;26,3;20;27,1;26,2;20;19,4;69;64;68;323;4,6;1,2;
2022/01/01;2200 UTC;0;940,1;940,1;939,1;132,5;25,7;20,5;26,3;25,7;20,5;19,8;73;68;73;37;3,4;1,9;
2022/01/01;2300 UTC;0;940,9;940,9;940,1;;23,6;22,1;25,7;23,5;22,9;20,4;94;72;91;36;6,3;2,6;
2022/01/02;0000 UTC;0;941,3;941,3;940,8;;22,7;20,9;23,6;22,7;22;20,8;91;88;89;35;5,6;2,5;
2022/01/02;0100 UTC;0;942,4;942,4;941,3;;22,4;20,8;22,7;22,4;21;20,6;92;89;91;64;5,1;2,5;
2022/01/02;0200 UTC;0;942,4;942,6;942,3;;21,8;21,3;22,4;21,8;21,4;20,6;98;90;97;66;5,8;2,2;
