REGIAO:;S
UF:;PR
ESTACAO:;CURITIBA
CODIGO (WMO):;A807
LATITUDE:;-25,4486111
LONGITUDE:;-49,23055554
ALTITUDE:;922,91
DATA DE FUNDACAO:;28/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;907,3;907,3;906,9;;17,6;;17,7;17,6;;;;;;88;1,9;,5;
2022/01/01;0100 UTC;0;906,7;907,3;906,7;;17,3;;17,6;17,2;;;;;;90;2,3;,3;
2022/01/01;0200 UTC;0;906;906,7;906;;17,3;;17,3;17;;;;;;64;1,6;,2;
2022/01/01;0300 UTC;0;905,9;906;905,7;;17,2;;17,3;16,9;;;;;;240;1,6;0;
2022/01/01;0400 UTC;0;905,5;905,9;905,5;;17;;17,2;17;;;;;;301;,8;0;
2022/01/01;0500 UTC;0;905,4;905,5;905,3;;16,6;;17;16,4;;;;;;172;,6;0;
2022/01/01;0600 UTC;0;905,4;905,4;905,2;;16,4;;16,7;16,4;;;;;;56;1,3;,1;
2022/01/01;0700 UTC;0;906;906;905,4;;16;;16,4;16;;;;;;132;1,3;0;
2022/01/01;0800 UTC;0;906,6;906,6;906;88,4;16,7;;16,7;16;;;;;;2;,9;0;
2022/01/01;0900 UTC;0;906,9;906,9;906,6;762,9;18,6;;18,6;16,4;;;;;;308;2,3;1,2;
2022/01/01;1000 UTC;0;907,6;907,6;906,9;1657,7;20,4;;20,5;18,4;;;;;;290;3;1,7;
2022/01/01;1100 UTC;0;908,1;908,1;907,5;2099,5;20,9;;21,5;20,2;;;;;;246;3,9;1,7;
2022/01/01;1200 UTC;0;908;908,1;907,8;2492,4;23,3;;23,5;20,8;;;;;;296;3,8;2;
2022/01/01;1300 UTC;0;907,6;908;907,6;2438,6;23,8;;24,8;22,4;;;;;;288;4,1;2,2;
2022/01/01;1400 UTC;0;907,1;907,6;907,1;3421,7;25,1;;25,9;23,7;;;;;;259;6,2;1,9;
2022/01/01;1500 UTC;0;906,5;907,1;906,5;4028,5;26,8;;26,9;25;;;;;;324;7,3;1,7;
2022/01/01;1600 UTC;0;905,7;906,5;905,7;3260,3;27,8;;28,4;26,5;;;;;;125;4,3;,8;
2022/01/01;1700 UTC;0;905,1;905,8;905,1;2551,9;29,2;;29,5;26,6;;;;;;135;4,3;1;
2022/01/01;1800 UTC;0;905;905,1;904,9;2429,3;28,4;;30,6;28,2;;;;;;121;4,3;,6;
2022/01/01;1900 UTC;0;905,1;905,1;904,9;1201;27,6;;29,6;27,6;;;;;;90;5,5;3;
2022/01/01;2000 UTC;0;905,3;905,3;905;534,9;26,6;;27,9;26,4;;;;;;84;6,3;1,5;
2022/01/01;2100 UTC;0;906,1;906,1;905,3;111,6;23,3;;26,5;23,3;;;;;;68;5;1,2;
2022/01/01;2200 UTC;0;906,8;906,8;906,1;;21,6;;23,3;21,6;;;;;;68;4,7;1,2;
2022/01/01;2300 UTC;0;907,9;907,9;906,8;;20,5;;21,6;20,5;;;;;;72;4,3;,9;
2022/01/02;0000 UTC;0;908,4;908,4;907,9;;20,1;;20,5;20,1;;;;;;70;3,7;1,2;
2022/01/02;0100 UTC;0;908,7;908,8;908,3;;19,8;;20,1;19,8;;;;;;79;4,1;,9;
2022/01/02;0200 UTC;0;908,5;908,7;908,4;;19,1;;19,8;19;;;;;;53;2,6;0;
2022/01/02;0300 UTC;0;908,3;908,5;908,2;;20;;20;19,1;;;;;;60;3,1;,6;
2022/01/02;0400 UTC;0;907,9;908,3;907,9;;19,8;;20;19,6;;;;;;50;4;1,3;
2022/01/02;0500 UTC;0;907,8;907,8;907,6;;19,1;;19,8;19,1;;;;;;42;3;,2;
2022/01/02;0600 UTC;0;907,8;907,9;907,7;;19;;19,2;19;;;;;;27;2,9;,4;
2022/01/02;0700 UTC;0;908,7;908,7;907,8;;18,8;;19;18,8;;;;;;44;2,5;0;
2022/01/02;0800 UTC;0;909,2;909,2;908,7;100,9;18,9;;19;18,7;;;;;;48;1,7;,6;
2022/01/02;0900 UTC;0;909,7;909,7;909,2;559,3;20,6;;20,7;19;;;;;;299;2,8;1,3;
2022/01/02;1000 UTC;0;909,9;909,9;909,7;1324,3;22,7;;22,7;20,6;;;;;;268;3,7;1;
2022/01/02;1100 UTC;0;909,6;909,9;909,6;2615,5;24,7;;25,3;22,7;;;;;;13;3,5;1,2;
2022/01/02;1200 UTC;0;909,6;909,7;909,5;2945,6;25,6;;27,3;24,7;;;;;;207;3,2;,9;
2022/01/02;1300 UTC;0;909;909,6;909;3365,2;28,7;;28,8;25,6;;;;;;317;3,5;,8;
2022/01/02;1400 UTC;0;908,5;909;908,5;2755,1;28,1;;29,7;27,5;;;;;;287;4;1,9;
2022/01/02;1500 UTC;0;907,9;908,5;907,9;3062,7;29,6;;30,5;28,1;;;;;;220;3,8;,6;
2022/01/02;1600 UTC;0;907,3;907,9;907,3;1918,9;28,9;;30,6;28,7;;;;;;236;5,3;1,7;
2022/01/02;1700 UTC;6,8;907,2;907,3;906,8;754,7;24;;29,6;24;;;;;;64;13;3,5;
2022/01/02;1800 UTC;22,2;906,6;908,3;906,5;1317,7;25,2;;25,2;18,5;;;;;;67;19;,8;
2022/01/02;1900 UTC;0;906,3;906,6;906,1;1021,2;25,7;;25,8;24,5;;;;;;81;3,8;,9;
2022/01/02;2000 UTC;0;906,5;906,5;906,2;959,1;26,5;;27,1;25,7;;;;;;68;4,9;1,7;
2022/01/02;2100 UTC;0;907,1;907,1;906,5;184,8;24,1;;26,5;24,1;;;;;;74;4,4;1,6;
2022/01/02;2200 UTC;0;908,1;908,1;907,1;;22,3;;24,1;22,3;;;;;;95;3,6;1,3;
2022/01/02;2300 UTC;0;909,1;909,1;908,1;;21,3;;22,3;21,3;;;;;;61;3,8;,6;
2022/01/03;0000 UTC;0;909,7;909,7;909,1;;20,7;;21,3;20,7;;;;;;70;2,5;,3;
2022/01/03;0100 UTC;0;909,8;909,9;909,7;;20,3;;20,7;20,2;;;;;;54;1,4;,3;
2022/01/03;0200 UTC;0;909,4;909,9;909,4;;20;;20,3;20;;;;;;39;2,2;,1;
2022/01/03;0300 UTC;0;908,7;909,5;908,6;;20;;20,2;19,9;;;;;;57;1,6;,4;
2022/01/03;0400 UTC;0;908,3;908,7;908,3;;19,5;;20;19,5;;;;;;56;3,4;1,8;
2022/01/03;0500 UTC;0;908,8;908,9;908,3;;19,2;;19,5;19,1;;;;;;79;3,3;,4;
2022/01/03;0600 UTC;0;909,5;909,5;908,8;;19;;19,2;18,9;;;;;;340;3;0;
2022/01/03;0700 UTC;0;909,6;909,7;909,4;,1;18,7;;19;18,7;;;;;;71;1,8;,1;
2022/01/03;0800 UTC;0;909,8;909,8;909,5;51,9;18,9;;18,9;18,5;;;;;;77;1,5;0;
2022/01/03;0900 UTC;0;909,8;909,9;909,8;384,7;19,2;;19,3;18,6;;;;;;21;1,5;,1;
2022/01/03;1000 UTC;0;910;910,1;909,7;1241;21,8;;21,8;19,1;;;;;;182;2,1;,1;
2022/01/03;1100 UTC;0;909,8;910;909,8;2462,5;25,3;;25,5;21,8;;;;;;117;2,4;,2;
2022/01/03;1200 UTC;0;909,3;909,8;909,3;2927,1;25,9;;27,2;25,2;;;;;;203;2,7;,8;
2022/01/03;1300 UTC;0;908,6;909,3;908,6;3239,2;28,3;;28,5;25,9;;;;;;122;4;1;
2022/01/03;1400 UTC;0;908;908,6;908;3606,9;29,7;;30,1;27,8;;;;;;51;4,4;1,2;
2022/01/03;1500 UTC;0;907;908;907;3546,9;29,7;;30,9;29,4;;;;;;59;4,5;1,4;
2022/01/03;1600 UTC;0;906,3;907;906,3;3393,4;30,4;;31,6;29,4;;;;;;140;7,6;2,5;
