REGIAO:;S
UF:;PR
ESTACAO:;INACIO MARTINS
CODIGO (WMO):;A823
LATITUDE:;-25,567879
LONGITUDE:;-51,077946
ALTITUDE:;1208,85
DATA DE FUNDACAO:;16/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;875,5;876,1;875,5;;17,1;13,6;18,7;17,1;15,8;13,5;85;79;80;261;7,4;3,4;
2022/01/01;0100 UTC;0;876,2;876,2;875,5;;17,4;15,3;17,4;16,9;15,3;13,2;88;78;87;231;5,5;3,3;
2022/01/01;0200 UTC;0;876,6;876,6;876,2;;16,8;15,6;17,6;16,8;15,7;15,2;93;87;93;223;6,5;1,8;
2022/01/01;0300 UTC;0;876,2;876,7;876,2;;16;15,2;16,8;15,9;15,6;15;95;93;95;233;3,8;1,9;
2022/01/01;0400 UTC;0;875,8;876,2;875,8;;16,3;15,7;16,3;15,9;15,8;15,1;96;95;96;230;5,1;2,7;
2022/01/01;0500 UTC;0;875,4;875,8;875,4;;16,4;15,6;16,4;16,3;15,9;15,6;97;95;95;218;5,9;2,2;
2022/01/01;0600 UTC;0;874,9;875,4;874,9;;15,5;14,8;16,4;15,4;15,7;14,7;96;95;96;179;5,2;1,5;
2022/01/01;0700 UTC;0;875,1;875,1;874,7;;15,5;15,1;15,5;15,2;15,1;14,6;97;96;97;185;4,6;1,3;
2022/01/01;0800 UTC;0;875,4;875,4;875;0;15,5;15,1;15,7;15,5;15,3;15;97;97;97;192;5;2,6;
2022/01/01;0900 UTC;0;876,1;876,1;875,4;5,8;15,5;15,1;15,6;15,5;15,2;15;97;97;97;191;5;1,3;
2022/01/01;1000 UTC;0;876,7;876,7;876,1;79,4;15,4;15;15,6;15,4;15,2;15;98;97;98;176;3,4;1,7;
2022/01/01;1100 UTC;0;877,2;877,2;876,7;367,4;16;15,7;16;15,4;15,7;15;98;98;98;148;4;1,2;
2022/01/01;1200 UTC;0;877,7;877,7;877,2;1062,2;17,6;16,1;17,7;15,8;16,5;15,4;98;90;91;118;2,8;,6;
2022/01/01;1300 UTC;0;877,7;877,8;877,7;2712,4;20,1;17;20,2;17,6;17,1;15,9;91;80;82;149;3,7;2;
2022/01/01;1400 UTC;0;877,7;877,9;877,7;3518,1;22,4;18,4;22,4;20,1;18,4;16,4;83;74;78;167;5,2;2,5;
2022/01/01;1500 UTC;0;877,3;877,7;877,3;3932;23,7;18,4;23,8;22,1;18,9;16,8;79;66;72;153;5,7;2,4;
2022/01/01;1600 UTC;0;876,8;877,3;876,8;4088,9;25;16,8;25,3;23,7;18,4;15,7;72;56;60;150;5,6;2,5;
2022/01/01;1700 UTC;0;876,2;876,8;876,1;3810,8;26,3;15,3;26,4;24,8;18,9;14,5;66;48;51;174;5,6;2,8;
2022/01/01;1800 UTC;0;875,7;876,2;875,6;3483,2;26,7;13,4;27,1;25,6;16,5;13,2;55;42;44;196;6,1;2,7;
2022/01/01;1900 UTC;0;875,1;875,7;875,1;3025,6;27,1;14,9;27,3;26,4;15,5;12,5;49;41;47;156;5,6;1,9;
2022/01/01;2000 UTC;0;874,7;875,1;874,7;2206,8;27,4;14,5;27,4;26,4;15,8;13,2;50;43;45;166;4,8;1,4;
2022/01/01;2100 UTC;0;874,7;874,8;874,7;1290,2;26,3;13,8;27,4;26,1;15,1;12,6;48;43;46;184;5,3;1,9;
2022/01/01;2200 UTC;0;875,1;875,1;874,7;466,2;24;13,7;26,5;24;14,6;13;54;44;53;210;3,5;1,3;
2022/01/01;2300 UTC;0;875,6;875,6;875,1;5,8;21,9;14,1;24;21,9;14,6;13,9;64;53;61;200;2,9;2;
2022/01/02;0000 UTC;0;876,3;876,3;875,6;;21,2;13,3;22;20,8;14,5;13,2;64;58;61;201;3;2,2;
2022/01/02;0100 UTC;0;877,3;877,3;876,3;;21,7;13,9;22;20,8;14,1;12,8;63;59;61;217;4,6;3;
2022/01/02;0200 UTC;0;877,7;877,7;877,3;;20,6;16,5;21,8;20,6;16,5;14;78;61;78;211;6,1;3,3;
2022/01/02;0300 UTC;0;877,9;877,9;877,7;;19,7;16,6;20,6;19,7;16,7;16,4;82;78;82;171;5,9;2,1;
2022/01/02;0400 UTC;0;877,5;877,9;877,5;;19,6;17;19,7;19,5;17;16,6;85;82;85;171;4,4;2,4;
2022/01/02;0500 UTC;0;877;877,5;877;;19,1;16,7;19,7;19,1;17;16,7;86;84;86;159;5,8;2,7;
2022/01/02;0600 UTC;0;876,8;877;876,7;;18,9;16,9;19,1;18,7;16,9;16,7;89;86;88;158;4,7;2,4;
