REGIAO:;S
UF:;PR
ESTACAO:;CIDADE GAUCHA
CODIGO (WMO):;A869
LATITUDE:;-23,359156
LONGITUDE:;-52,931912
ALTITUDE:;365,79
DATA DE FUNDACAO:;11/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1200 UTC;0;966,8;966,8;966,5;1832;26,9;19,8;26,9;24,8;19,9;18,8;70;64;65;321;5,6;3,1;
2022/01/01;1300 UTC;0;966,9;967;966,8;2576,4;28,6;19,1;28,8;26,6;20,4;18,8;65;56;56;308;5,6;2,1;
2022/01/01;1400 UTC;0;966,4;966,9;966,4;3195,9;30,6;19,7;30,6;28,4;19,9;18,3;58;50;52;319;5;2,1;
2022/01/01;1500 UTC;0;965,8;966,5;965,8;3662,9;31,3;17;32,6;30,2;19,6;17;52;41;42;314;6,3;2,6;
2022/01/01;1600 UTC;0;965;965,9;965;2293;34;15,4;34;30,4;19;15,4;47;33;33;284;6,3;2,4;
2022/01/01;1700 UTC;0;963,8;965;963,8;3208,3;33,4;15;34,4;32;17,8;14,7;41;32;33;277;5,9;1,7;
2022/01/01;1800 UTC;0;963;963,8;963;2469,2;34,5;15,6;35,2;32,4;17,2;14,8;38;31;32;308;5,3;1,8;
2022/01/01;1900 UTC;0;962,3;963;962,3;2033,4;33,2;14,8;35,7;33;16,6;14,5;36;30;33;302;6;2,4;
2022/01/01;2000 UTC;0;961,7;962,3;961,7;1861,8;34,9;14,9;35,6;32,8;15,7;14,2;36;29;30;36;6,3;,8;
