REGIAO:;S
UF:;RS
ESTACAO:;PORTO ALEGRE
CODIGO (WMO):;A801
LATITUDE:;-30,05361111
LONGITUDE:;-51,17472221
ALTITUDE:;41,18
DATA DE FUNDACAO:;22/09/00
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;1000,3;1000,3;999,4;;25;19,7;26,4;25;19,7;19,3;72;65;72;126;5,4;2,1;
2022/01/01;0100 UTC;0;1000,6;1000,6;1000,2;;24,1;19,8;25;24,1;19,8;19,6;77;72;77;95;4,3;1,3;
2022/01/01;0200 UTC;0;1000,5;1000,8;1000,5;;23,6;19,9;24,1;23,6;19,9;19,8;80;77;80;76;3,4;1;
2022/01/01;0300 UTC;0;1000;1000,5;1000;;23,3;19,6;23,8;23,3;19,9;19,5;80;78;79;104;2,6;1;
2022/01/01;0400 UTC;0;999,7;1000;999,6;;23;20,1;23,6;22,5;20,2;19,4;85;78;84;132;3,4;1,4;
2022/01/01;0500 UTC;0;999,4;999,7;999,4;;22,3;19,9;23,1;22,3;20,1;19,8;86;83;86;90;3,4;1;
2022/01/01;0600 UTC;0;999,3;999,5;999,3;;21,9;19,8;22,4;21,9;20;19,8;88;86;88;91;3,1;1,2;
2022/01/01;0700 UTC;0;999,6;999,6;999,3;;21,4;19,5;21,9;21,4;19,9;19,5;89;88;89;104;2,5;,8;
2022/01/01;0800 UTC;0;999,9;999,9;999,6;;21,5;19,8;21,6;21,4;19,8;19,5;90;89;90;85;1,8;1;
2022/01/01;0900 UTC;0;1000,6;1000,6;999,9;26,8;21,3;19,8;21,5;21,2;19,8;19,6;91;90;91;357;1,8;,4;
2022/01/01;1000 UTC;0;1000,9;1000,9;1000,6;485,7;24,8;20,2;24,8;21,3;20,7;19,2;91;74;76;111;1,3;,7;
2022/01/01;1100 UTC;0;1001,2;1001,2;1000,9;1314,4;25,9;20,3;26,1;24,2;20,8;19,3;76;71;72;340;2,1;,8;
2022/01/01;1200 UTC;0;1001,1;1001,4;1001,1;2115,7;28;20,3;28,8;25,7;21,2;19,2;72;59;63;193;2,3;,8;
2022/01/01;1300 UTC;0;1001,2;1001,4;1001,1;2800;29,3;19,6;29,6;27,9;20,5;18,8;63;55;56;304;3,8;1,2;
2022/01/01;1400 UTC;0;1000,7;1001,2;1000,7;3331,2;31;20,2;31;29,3;20,7;19,1;58;52;52;317;3,5;1,8;
2022/01/01;1500 UTC;0;1000,3;1000,7;1000,3;3695,5;32,8;17,5;33,7;31;20,5;17,4;52;39;40;72;3,8;1,2;
2022/01/01;1600 UTC;0;1000,2;1000,3;1000,1;3365,9;34,4;22,2;34,6;32,5;22,5;17,2;53;37;49;186;4,7;1,8;
2022/01/01;1700 UTC;0;999,9;1000,2;999,8;3522,1;34,7;21;35;34;22,2;20,3;49;44;45;180;4,8;1,4;
2022/01/01;1800 UTC;0;998,8;999,9;998,8;3316,4;35,1;17,5;35,4;34,2;21,1;17,5;45;35;35;144;4,8;1,9;
2022/01/01;1900 UTC;0;998,1;998,8;998,1;2905;34,3;19,8;35,6;34,2;19,9;17,4;43;35;43;124;5,7;2,4;
2022/01/01;2000 UTC;0;997,7;998,3;997,7;1801,8;33;20;34,5;32,8;20,2;19;47;41;46;99;7,6;2,4;
2022/01/01;2100 UTC;0;997,8;997,8;997,4;1280,6;31,3;20,3;33,2;31,1;20,3;19,5;52;46;52;130;7,9;2,3;
2022/01/01;2200 UTC;0;998,4;998,4;997,8;207,5;28,5;19,7;31,3;28,5;20,1;19,4;59;51;59;92;8,5;2,3;
2022/01/01;2300 UTC;0;999,9;999,9;998,4;9,5;26,6;19,6;28,5;26,6;19,7;19,4;66;58;66;114;8,3;1,5;
2022/01/02;0000 UTC;0;1000,7;1000,7;999,9;;25,2;20,5;26,6;25,2;20,5;19,6;75;66;75;135;5,7;2,3;
2022/01/02;0100 UTC;0;1001,6;1001,6;1000,7;;24;20,4;25,2;24;20,6;20,3;80;75;80;136;6,6;2;
2022/01/02;0200 UTC;0;1000,6;1001,8;1000,6;;23,1;20,2;24;23,1;20,4;20,2;84;80;84;109;6,2;1,8;
2022/01/02;0300 UTC;0;1000,6;1001,1;1000,5;;22,7;20,1;23,1;22,7;20,3;20,1;86;84;85;78;4,9;1,3;
2022/01/02;0400 UTC;0;1000,5;1000,6;1000,4;;22,5;20,1;22,9;22,5;20,4;20,1;87;85;86;98;5,2;,7;
2022/01/02;0500 UTC;0;1000,1;1000,5;1000,1;;22,2;20,2;22,5;22,1;20,2;20;89;86;89;82;3,2;1,4;
2022/01/02;0600 UTC;0;1000;1000,1;999,9;;21,9;19,4;22,5;21,8;20,2;19,4;89;85;86;128;2,8;,6;
2022/01/02;0700 UTC;0;999,7;1000;999,6;;21,5;19,8;21,9;21,4;20;19,4;90;86;90;115;3;1,1;
2022/01/02;0800 UTC;0;999,6;999,7;999,6;;21,7;19,7;21,8;21,4;20;19,6;90;88;88;110;2,6;1,2;
2022/01/02;0900 UTC;0;999,7;999,7;999,5;30,3;22;18,9;22,1;21,5;19,7;18,9;89;83;83;79;2,7;1;
2022/01/02;1000 UTC;0;1000,5;1000,5;999,7;469,3;25,3;19,1;25,3;22;19,2;18,4;83;68;68;74;3,1;1,2;
2022/01/02;1100 UTC;0;1001,2;1001,2;1000,5;1300,4;27,7;20,1;28,1;25,3;20,4;18,7;68;59;63;158;3,1;,8;
2022/01/02;1200 UTC;0;1001,1;1001,3;1001,1;2059,8;31,4;19,1;31,4;27,8;20,8;18,1;64;48;48;133;2,7;,6;
2022/01/02;1300 UTC;0;1000,9;1001,2;1000,9;2627,8;32;18,7;32,5;30,8;19,7;17,8;49;43;45;213;3,9;1,1;
2022/01/02;1400 UTC;0;1000,8;1001,1;1000,8;3050,8;34,1;20,1;34,1;32;20,3;18,4;48;42;44;199;2,8;1,2;
2022/01/02;1500 UTC;0;1001,1;1001,1;1000,8;3416,6;35,5;21,8;35,5;33,5;21,8;18,6;48;40;45;229;4,5;1,9;
2022/01/02;1600 UTC;0;999,9;1001,1;999,9;3335,2;36,3;21,9;36,3;34,8;22,3;20,7;48;42;43;197;5,7;1,5;
2022/01/02;1700 UTC;0;999,6;999,9;999,3;2736,1;34,7;22,5;36,7;34,7;23;20,6;50;40;49;149;5;1,6;
2022/01/02;1800 UTC;0;998,6;1000,1;998,5;885,9;30,5;21,4;34,7;30,5;22,8;21,2;61;49;58;150;8,3;3,1;
2022/01/02;1900 UTC;,6;1004,4;1004,4;998,7;87,9;25;21;30,5;25;21,8;20,4;79;58;79;263;15,7;3,7;
2022/01/02;2000 UTC;12;1001,2;1005,1;1001,2;31,7;22,8;21,2;24,9;22;21,6;20,7;94;79;90;150;15,7;3,1;
2022/01/02;2100 UTC;0;1002,4;1002,4;1000,9;450,1;23,7;20,8;23,8;22,8;21,3;20,8;90;84;84;25;8,9;1,3;
2022/01/02;2200 UTC;0;1002,4;1002,9;1002,3;75,2;23,4;20,7;23,9;23,3;21,1;20,5;86;82;85;80;5,4;1,6;
2022/01/02;2300 UTC;0;1002,5;1003,7;1001,8;4,5;23,2;20,2;23,8;23;20,7;20;85;80;84;77;8,3;1;
2022/01/03;0000 UTC;0;1001,7;1002,6;1001,6;;23,3;20,9;23,8;23,2;21;20,3;87;83;86;89;6,2;1,6;
2022/01/03;0100 UTC;0;1003,1;1003,1;1001,7;;23,2;20,9;23,6;23,1;21;20,7;87;85;87;164;6,2;,4;
2022/01/03;0200 UTC;0;1002,6;1003,1;1002,6;;23;20,8;23,2;23;20,9;20,8;88;87;88;176;1;,3;
2022/01/03;0300 UTC;0;1002,6;1002,7;1002,4;;23,2;21,2;23,3;22,9;21,2;20,8;89;87;88;250;2,5;1;
