REGIAO:;S
UF:;RS
ESTACAO:;JAGUARAO
CODIGO (WMO):;A836
LATITUDE:;-32,53472221
LONGITUDE:;-53,37583332
ALTITUDE:;31,48
DATA DE FUNDACAO:;09/01/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;1002,5;1002,7;1002,2;;23,7;21,5;24,6;23,7;21,7;21,5;87;84;87;101;3,9;0;
2022/01/01;0100 UTC;0;1003,6;1003,6;1002,4;;23,2;21,3;23,7;23,2;21,5;21,1;89;86;89;105;0;0;
2022/01/01;0200 UTC;0;1003,7;1003,7;1003,5;;22,3;21,1;23,2;22,3;21,3;21,1;93;89;93;101;2,3;0;
2022/01/01;0300 UTC;0;1003,6;1003,8;1003,6;;22,1;21,3;22,3;22;21,3;21,1;95;93;95;106;0;0;
2022/01/01;0400 UTC;0;1003,3;1003,6;1003,3;;22,6;21,9;22,6;22,1;21,9;21,3;96;95;96;87;2,5;0;
2022/01/01;0500 UTC;0;1002,7;1003,3;1002,7;;22,4;21,7;22,7;22,3;22;21,6;96;96;96;79;0;0;
2022/01/01;0600 UTC;0;1002,2;1002,7;1002,2;;22,4;21,7;22,7;22,3;22;21,6;97;96;96;57;3,3;0;
2022/01/01;0700 UTC;0;1002,3;1002,3;1002,2;;21,9;21;22,4;21,9;21,7;21;96;95;95;38;4,4;0;
2022/01/01;0800 UTC;0;1002,2;1002,4;1002,2;;21,5;20,8;21,9;21,4;21;20,8;96;95;96;62;0;0;
2022/01/01;0900 UTC;0;1002,2;1002,4;1002,2;21,9;21,5;20,8;21,6;21,4;21;20,7;96;96;96;43;2,7;0;
2022/01/01;1000 UTC;0;1002,6;1002,6;1002,2;370,4;22,7;20,9;22,7;21,5;21,2;20,8;96;90;90;52;4,8;,3;
2022/01/01;1100 UTC;0;1003,4;1003,4;1002,6;1142,7;24,2;21,1;24,2;22,7;21,2;20,5;90;82;83;39;4,7;,7;
2022/01/01;1200 UTC;0;1003,4;1003,6;1003,4;2030,1;26,8;21,2;26,8;24,2;21,6;20,8;83;71;72;54;4,7;,2;
2022/01/01;1300 UTC;0;1003,1;1003,5;1003,1;2740;29,3;20,8;29,3;26,6;21,7;20,4;72;60;60;27;3,9;0;
2022/01/01;1400 UTC;0;1002,9;1003,2;1002,9;3301,1;30,8;20,2;31,6;28,8;21,7;19,7;61;52;53;52;3,5;0;
