REGIAO:;S
UF:;RS
ESTACAO:;CRUZ ALTA
CODIGO (WMO):;A853
LATITUDE:;-28,60344
LONGITUDE:;-53,673597
ALTITUDE:;426,69
DATA DE FUNDACAO:;31/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;956,3;956,3;955,7;;27,1;14;28,6;26,9;15,7;13,8;48;42;44;287;1,7;0;
2022/01/01;0100 UTC;0;957,2;957,2;956,3;;25,3;14,5;27,6;24,9;14,5;12,4;52;41;51;287;4,3;3;
2022/01/01;0200 UTC;0;957,6;957,6;957,1;;24,7;14,7;26,2;24,4;14,8;14,6;55;49;54;287;5,4;2,8;
2022/01/01;0300 UTC;0;957,3;957,6;957,3;;23,9;15,3;24,8;23,2;15,3;14,7;60;54;59;287;5,4;3,8;
2022/01/01;0400 UTC;0;956,8;957,3;956,8;;22,6;15,9;23,9;22,6;15,9;15,3;66;59;66;287;5,7;3,1;
2022/01/01;0500 UTC;0;956,5;956,8;956,4;;22,2;15,9;22,6;22;15,9;15,8;69;66;68;287;5,1;3,8;
2022/01/01;0600 UTC;0;956,4;956,5;956,3;;21,2;15,6;22,3;21,1;15,9;15,6;71;67;71;287;6,1;1,7;
2022/01/01;0700 UTC;0;956,7;956,8;956,4;;20,7;15,4;21,7;20,1;15,7;15,3;75;69;72;287;3;,1;
2022/01/01;0800 UTC;0;956,8;956,8;956,7;;20,7;15,4;21;20,7;15,5;15,4;72;70;72;287;2,9;2,1;
2022/01/01;0900 UTC;0;957,3;957,3;956,8;12,6;20,3;15,5;20,7;19,8;15,5;15,3;75;72;74;287;4,3;3,1;
2022/01/01;1000 UTC;0;957,9;957,9;957,3;390,3;22,1;16,5;22,1;20,1;16,6;15,5;75;69;70;287;4,3;2,4;
2022/01/01;1100 UTC;0;958,3;958,3;957,9;1194,8;24,8;16,7;24,8;22,1;16,9;15,9;70;60;61;287;4,6;2,5;
2022/01/01;1200 UTC;0;958,4;958,6;958,3;2053,4;27,8;18;27,8;24,8;18;16,3;61;55;55;287;4,9;2,5;
