REGIAO:;S
UF:;SC
ESTACAO:;DIONISIO CERQUEIRA
CODIGO (WMO):;A848
LATITUDE:;-26,286562
LONGITUDE:;-53,633114
ALTITUDE:;807,54
DATA DE FUNDACAO:;31/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;916,4;916,4;915,7;;24,4;14,3;24,7;24,4;14,6;14,2;54;53;53;235;2,5;0;
2022/01/01;0100 UTC;0;916,8;916,8;916,3;;23,8;13,4;24,4;23,7;14,5;13,4;55;52;52;249;1,9;0;
2022/01/01;0200 UTC;0;917,1;917,2;916,8;;23,2;14,2;23,9;23,2;14,2;13,2;57;51;57;241;3,7;2,2;
2022/01/01;0300 UTC;0;916,8;917,1;916,7;;22,5;14,7;23,3;22,5;14,8;14,2;62;57;61;247;4,8;2,7;
2022/01/01;0400 UTC;0;916,5;916,8;916,5;;22,1;15;22,5;22,1;15;14,7;64;61;64;236;5,3;2,3;
2022/01/01;0500 UTC;0;916,1;916,5;916,1;;21,4;14,9;22,1;21,4;15,1;14,9;67;64;67;238;6,2;3,7;
2022/01/01;0600 UTC;0;915,7;916,1;915,7;;20,6;14,5;21,4;20,6;15;14,5;69;67;68;238;7,5;3,6;
2022/01/01;0700 UTC;0;915,9;915,9;915,6;;20,7;13,8;20,7;20,4;14,5;13,7;68;65;65;228;7,3;4,7;
2022/01/01;0800 UTC;0;916,2;916,3;915,8;;20,3;14,5;20,7;20,3;14,5;13,8;70;65;69;235;7,3;4,7;
2022/01/01;0900 UTC;0;917;917;916,2;9,1;20,1;14,8;20,3;19,9;14,8;14,4;72;69;72;239;7,3;4,9;
2022/01/01;1000 UTC;0;917,6;917,7;917;399,8;21,4;15,6;21,4;20,1;15,6;14,9;72;69;69;242;7,5;3,3;
2022/01/01;1100 UTC;0;918,3;918,3;917,6;1207,3;23;15,9;23;21,4;16;15,6;70;64;65;222;7,2;3,2;
2022/01/01;1200 UTC;0;918,7;918,7;918,3;2053,4;24,1;16,5;24,2;22,9;16,6;15,8;66;61;62;198;7,5;2,6;
2022/01/01;1300 UTC;0;918,7;918,7;918,6;2815,8;25,9;16,5;25,9;24,1;16,8;15,8;63;56;56;205;7,3;3,5;
2022/01/01;1400 UTC;0;918,2;918,7;918,2;3418,6;27,6;15,6;27,6;25,9;16,9;15,2;58;47;48;210;7,3;2,9;
2022/01/01;1500 UTC;0;917,9;918,2;917,9;3490,9;27,9;15,3;28,9;27,4;16,1;14,1;49;42;46;208;6,1;2,2;
2022/01/01;1600 UTC;0;917,4;917,9;917,4;3746,3;29,6;13,7;30;27,8;15,3;13,6;46;37;38;216;6,2;1,5;
2022/01/01;1700 UTC;0;916,7;917,4;916,7;2987,2;29,8;14,4;30,9;29;15;12,1;41;34;39;220;7,1;2,2;
2022/01/01;1800 UTC;0;916,1;916,7;916,1;3381;31;12,6;31,4;29,8;14,6;11,8;39;30;32;222;5,5;,5;
2022/01/01;1900 UTC;0;915,5;916,1;915,5;2489,6;30,6;12;32,1;30,5;13,3;11,4;34;30;32;245;5;1,6;
2022/01/01;2000 UTC;0;915,1;915,5;915,1;1619,5;31,5;12,1;31,7;30,4;12,7;11,1;34;29;31;248;4,3;2,1;
2022/01/01;2100 UTC;0;914,8;915,1;914,8;1512,4;30,8;11;31,7;30,8;12,2;10,8;31;28;30;250;5,3;1,6;
2022/01/01;2200 UTC;0;914,9;914,9;914,7;564,9;29,5;11,9;30,9;29,5;13,2;10,9;35;29;34;240;3,6;1,1;
2022/01/01;2300 UTC;0;915,7;915,7;914,8;18,9;27,6;12,4;29,5;27,6;13,5;11,9;40;34;39;251;2,4;1,1;
2022/01/02;0000 UTC;0;916,5;916,5;915,7;;26,3;12,6;27,6;26,3;12,6;12,2;42;38;42;243;2,7;0;
2022/01/02;0100 UTC;0;917,4;917,4;916,5;;26,9;12;27;26,3;12,6;11,6;42;38;40;251;2,3;1,6;
2022/01/02;0200 UTC;0;917,6;917,7;917,4;;26,6;12;26,9;26,3;12,4;11,8;42;39;40;234;4,6;1,2;
2022/01/02;0300 UTC;0;917,5;917,7;917,5;;26,5;12,7;27;26,5;12,7;11,6;43;39;43;234;5;3,5;
2022/01/02;0400 UTC;0;917,6;917,6;917,4;;25,9;13,7;26,5;25,9;13,9;12,6;47;42;47;208;5,3;3,7;
2022/01/02;0500 UTC;0;917,6;917,7;917,5;;25,6;14;25,9;25,6;14;13,6;49;47;49;199;6,4;3,7;
2022/01/02;0600 UTC;0;917,5;917,7;917,5;;25,3;14,7;25,6;25,1;14,9;14;53;49;52;195;5,7;2,2;
2022/01/02;0700 UTC;0;917,1;917,6;917,1;;25,1;14,5;25,6;25,1;14,7;14;52;49;52;204;6,9;3,8;
2022/01/02;0800 UTC;0;917,5;917,6;917,1;;24,1;15,1;25,1;24,1;15,3;14,5;58;52;57;215;7,6;5;
2022/01/02;0900 UTC;0;917,9;918;917,5;8,1;23,3;16,3;24,1;23,3;16,3;15;65;57;65;229;8,6;4,3;
2022/01/02;1000 UTC;0;918,5;918,5;917,9;392,9;23,7;17,1;23,7;23,3;17,1;16,3;67;64;67;216;8;5,3;
2022/01/02;1100 UTC;0;918,8;919;918,5;1215;24,7;17,7;24,7;23,7;17,8;17,1;67;65;65;212;12,1;7;
2022/01/02;1200 UTC;0;919,5;919,5;918,8;2087,9;25,8;17,7;25,9;24,7;17,9;17,4;66;60;61;209;12,1;6,5;
2022/01/02;1300 UTC;0;919,9;919,9;919,5;2812,3;27,6;17,8;27,6;25,8;18,1;17,6;61;55;55;205;10,6;5;
2022/01/02;1400 UTC;0;920,3;920,5;919,9;3397,2;29,5;18;29,5;27,6;18,4;17,3;57;48;50;202;8,6;4,5;
2022/01/02;1500 UTC;0;920;920,4;919,9;3507,3;30,2;16,4;31;29,3;17,6;14,8;50;37;44;209;8,4;2,7;
2022/01/02;1600 UTC;0;918,8;920;918,8;2225,2;30,9;15,4;31;29,8;16,5;15,1;44;38;39;222;6,6;2,1;
2022/01/02;1700 UTC;0;918;918,8;918;2062,1;29,8;17,5;31,4;28,1;19,1;14,8;58;38;48;225;9;1,6;
2022/01/02;1800 UTC;18,2;918,2;919,1;917,5;2085,5;21,6;18,1;32,4;21,6;21,8;14,2;82;34;81;233;20,3;4,7;
2022/01/02;1900 UTC;3,6;916,7;918,2;916,6;984;23,5;16,6;27,5;21,3;23,1;15,8;84;59;65;204;20,3;4,8;
2022/01/02;2000 UTC;,2;916,3;916,7;916;1810,4;29,1;16,9;29,1;23,5;20,3;13,5;70;40;48;232;7,7;0;
2022/01/02;2100 UTC;0;916,6;916,6;916,3;683,9;28,4;18,1;29,9;28,4;20,8;16,4;60;45;54;239;1,2;,1;
2022/01/02;2200 UTC;0;917,6;917,6;916,6;197,1;28,3;16,7;28,4;28,2;18,6;15,6;56;46;49;214;2,2;,5;
2022/01/02;2300 UTC;0;917,9;918;917,6;3,9;24,5;14,6;28,3;24,5;20;14,1;63;50;54;248;9,8;2,3;
2022/01/03;0000 UTC;0;919,2;919,2;917,9;;22,5;15,7;24,5;22,5;15,9;14,2;65;53;65;227;9,3;3,1;
2022/01/03;0100 UTC;0;920;920;919,2;;21,4;17,6;22,5;21,4;17,6;15,6;79;65;79;194;6,5;1,9;
2022/01/03;0200 UTC;0;919;920;919;;21,3;17,5;21,4;21,2;17,9;17,4;81;79;79;196;5,5;0;
2022/01/03;0300 UTC;0;919,1;919,2;918,9;;22,3;16,6;22,3;21,3;17,5;16,3;79;69;70;214;7,5;4,8;
2022/01/03;0400 UTC;0;919;919,1;918,8;;22;17,2;22,3;22;17,2;16,3;74;69;74;201;8,3;1,4;
2022/01/03;0500 UTC;0;919;919,2;919;;21,9;17,6;22;21,7;17,7;17,2;78;74;77;210;7,5;1,5;
2022/01/03;0600 UTC;0;918,9;919,1;918,9;;21,9;17,4;22;21,8;17,8;17,4;78;75;76;235;6,5;0;
2022/01/03;0700 UTC;0;918,6;918,9;918,6;;22,6;16,4;22,8;21,9;17,3;16,3;75;67;68;236;0;0;
2022/01/03;0800 UTC;0;919,8;919,9;918,6;;22,1;17,4;22,6;22,1;17,4;15,8;75;66;75;208;7,9;3,1;
2022/01/03;0900 UTC;0;919,9;919,9;919,4;1,1;21,9;17,7;22,2;21,3;17,8;16,7;81;71;77;236;9;3,8;
2022/01/03;1000 UTC;0;919,9;920,3;919,5;114;20,5;18,8;21,8;20,4;18,9;17,7;91;77;90;220;9,4;,6;
2022/01/03;1100 UTC;0;920,2;920,3;919,9;145,1;20,5;18,5;20,5;20,4;18,8;18,5;91;89;89;229;8,4;3,6;
2022/01/03;1200 UTC;0;920;920,3;919,9;626,2;21,4;18,1;21,4;20,5;18,8;18,1;89;82;82;250;9,3;5;
2022/01/03;1300 UTC;0;920,4;920,4;920;1384,4;22,7;16,9;22,7;21,4;18,4;16,1;82;70;70;229;9,4;3;
2022/01/03;1400 UTC;0;920,9;920,9;920,4;1934,6;24;18,9;24;22,7;19;16,8;74;69;73;220;7,1;3,3;
2022/01/03;1500 UTC;0;920,9;921,1;920,9;1694,9;23,4;17,6;24;23,2;19,6;17;80;67;70;210;8,7;4,7;
2022/01/03;1600 UTC;0;920,1;920,9;920,1;2325,9;24,1;17,6;24,2;23,1;17,9;15,9;70;64;67;208;8,2;3,3;
2022/01/03;1700 UTC;0;919,7;920,1;919,5;1358,4;24,2;17,3;24,4;23,7;17,7;16,9;68;63;66;203;6,7;1,3;
2022/01/03;1800 UTC;0;919,1;919,7;919,1;978,4;23,9;16,9;24,3;23,8;17,7;16,4;67;63;65;199;4,3;2,1;
2022/01/03;1900 UTC;0;918,3;919,1;918,2;907,8;24,1;17,6;24,2;23,8;17,6;15,6;67;60;67;197;6;2,3;
2022/01/03;2000 UTC;0;917,3;918,3;917,3;799;24;18,4;24,2;23,8;18,6;17,5;71;67;71;214;4,8;2,5;
2022/01/03;2100 UTC;0;917;917,3;917;356,8;23,5;19;24;23,5;19;18,3;76;71;76;241;4,1;1,6;
2022/01/03;2200 UTC;0;917,6;917,6;917;118,8;22,8;18,9;23,5;22,8;19,5;18,9;80;75;79;250;2,6;1;
2022/01/03;2300 UTC;0;917,6;917,7;917,5;10,7;21,9;17,6;22,8;21,9;19;17,4;80;76;76;233;2,4;0;
2022/01/04;0000 UTC;0;917,6;917,6;917,4;;21,6;18,3;21,9;21,5;18,3;17,3;81;76;81;244;1,6;,8;
2022/01/04;0100 UTC;0;917,4;917,7;917,4;;21,2;17,3;21,6;21,2;18,3;17,2;82;78;79;226;3;1,8;
2022/01/04;0200 UTC;0;917,3;917,5;917,2;;21,3;17,6;21,3;20,8;17,7;17,1;82;79;79;219;3;1;
2022/01/04;0300 UTC;0;916,9;917,3;916,9;;22,2;19,2;22,2;21,3;19,2;17,6;84;79;83;230;5,6;1,5;
2022/01/04;0400 UTC;0;916,4;916,9;916,4;;21,9;19,1;22,2;21,9;19,2;19;84;82;84;200;4,3;,1;
2022/01/04;0500 UTC;0;915,9;916,4;915,8;;21,7;18,8;21,9;21,7;19,1;18,8;85;83;84;246;,9;0;
2022/01/04;0600 UTC;0;915,3;915,9;915,3;;21,4;19;21,7;21,4;19,2;18,6;87;83;86;250;2;,5;
2022/01/04;0700 UTC;0;915,1;915,3;914,9;;21,5;17,2;21,5;21,2;19,1;17,2;87;77;77;242;5,9;3,3;
2022/01/04;0800 UTC;0;915,5;915,5;915,1;;21,5;17,2;21,6;21,4;17,2;16,9;77;75;76;234;7,3;4,4;
2022/01/04;0900 UTC;0;915,8;915,8;915,4;;21;17,7;21,5;21;17,7;17,2;82;76;82;220;7,3;3,5;
2022/01/04;1000 UTC;,4;916,3;916,3;915,7;81,2;20,3;18,5;21;20,2;18,5;17,7;90;81;89;214;8,7;3,6;
2022/01/04;1100 UTC;0;917;917;916,3;454,6;21;18,3;21;20,3;18,5;18,1;89;84;85;223;6,2;2,2;
2022/01/04;1200 UTC;,8;917,2;917,2;917;571,8;21,2;19,5;21,2;20,6;19,5;18,2;92;84;90;221;5,7;1,8;
2022/01/04;1300 UTC;0;917,3;917,3;916,9;1067,3;20,9;19,4;21,9;20,9;19,5;18,9;91;84;91;233;6,5;3,6;
