REGIAO:;S
UF:;SC
ESTACAO:;XANXERE
CODIGO (WMO):;A858
LATITUDE:;-26,938666
LONGITUDE:;-52,39809
ALTITUDE:;878,74
DATA DE FUNDACAO:;15/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;908,9;908,9;908,2;;23;15,5;23,9;22,9;15,6;12,8;63;50;63;349;1,9;,3;
2022/01/01;0100 UTC;0;909,3;909,3;908,9;;22,1;15,3;23;22,1;15,7;15,1;65;61;65;87;3;,6;
2022/01/01;0200 UTC;0;909,4;909,4;909,3;;22,3;14,5;22,3;21,1;15,3;14,5;69;61;61;63;5,3;2,8;
2022/01/01;0300 UTC;0;909,4;909,5;909,3;;21,4;14,3;22,4;21,4;14,5;13,5;64;58;64;89;5,4;3;
2022/01/01;0400 UTC;0;909;909,4;908,9;;21,4;13,2;21,8;21,3;14,2;13,1;64;59;60;53;6,3;3,6;
2022/01/01;0500 UTC;0;908,7;909;908,7;;20,3;14,6;21,5;20,3;14,6;13,3;70;60;70;68;7,7;3,7;
2022/01/01;0600 UTC;0;908,4;908,7;908,4;;19,7;15,3;20,3;19,6;15,4;14,6;76;70;76;59;7,7;3,2;
2022/01/01;0700 UTC;0;908,4;908,5;908,4;;19,5;15,3;19,8;19,4;15,3;15,1;77;75;77;51;5,5;1,8;
2022/01/01;0800 UTC;0;908,9;908,9;908,4;;18,9;14,9;19,8;18,8;15,3;14,8;78;74;78;78;4,6;1,3;
2022/01/01;0900 UTC;0;909,5;909,5;908,9;12,2;19,4;13,9;19,4;18,3;15,2;13,9;82;71;71;55;4,2;2,2;
2022/01/01;1000 UTC;0;910,2;910,2;909,5;416,9;20,2;14,5;20,2;19,3;15,3;13,8;76;70;70;355;4,2;0;
2022/01/01;1100 UTC;0;910,7;910,7;910,2;1236,4;22,2;15,7;22,2;20,2;15,8;14,5;71;65;67;359;3,2;,9;
2022/01/01;1200 UTC;0;911;911;910,7;2102,3;24,6;15,3;24,7;22,2;16,4;15,1;68;56;56;323;3,8;1,9;
2022/01/01;1300 UTC;0;911,1;911,1;910,9;2859,9;26;15,3;26,3;24,4;15,9;14,8;58;49;52;332;6,1;2,7;
2022/01/01;1400 UTC;0;910,8;911,1;910,8;3443,3;27,7;15,2;27,9;25,9;16,5;14;53;43;47;336;5,7;2,7;
2022/01/01;1500 UTC;0;910,5;910,9;910,5;3822,5;28,6;13,5;29,1;27,6;16,1;13,5;48;39;40;326;5,5;1,9;
2022/01/01;1600 UTC;0;909,9;910,5;909,9;3931,9;31,1;13,5;31,4;28,6;15,5;13,2;42;34;34;29;6,6;1,6;
2022/01/01;1700 UTC;0;909,3;909,9;909,3;3657,9;30,3;13,3;32,2;29,9;14,8;12,7;38;31;35;323;5,6;1,9;
2022/01/01;1800 UTC;0;908,6;909,3;908,6;3330,9;31,9;12,3;32,4;29,4;14,2;12,1;39;30;30;325;6,7;2,1;
2022/01/01;1900 UTC;0;908,3;908,7;908,3;3098,6;31,6;11,3;32,7;31,3;12,9;10,3;32;26;29;276;6,5;2,9;
