REGIAO:;S
UF:;SC
ESTACAO:;CACADOR
CODIGO (WMO):;A859
LATITUDE:;-26,819156
LONGITUDE:;-50,98552
ALTITUDE:;944,26
DATA DE FUNDACAO:;19/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;903,5;903,5;902,7;;18,2;14,9;18,9;18,1;15;14,6;81;77;81;77;0;0;
2022/01/01;0100 UTC;0;903,8;903,9;903,5;;17,1;14,8;18,4;17;15,2;14,6;88;81;86;69;0;0;
2022/01/01;0200 UTC;0;903,8;904;903,8;;17,1;14,9;17,5;16,4;15,5;14,4;90;86;87;77;0;0;
2022/01/01;0300 UTC;0;903,4;903,9;903,4;;17,1;15;17,5;16,5;15,7;14,7;90;86;88;3;0;0;
2022/01/01;0400 UTC;0;903;903,5;903;;16,6;14,8;17,2;16;15,2;14,2;91;86;89;63;0;0;
2022/01/01;0500 UTC;0;903;903,1;902,9;;16,6;15;16,9;15,8;15,4;14,2;92;89;91;40;0;0;
2022/01/01;0600 UTC;0;902,6;903;902,6;;16,5;14,5;16,9;16,3;15,2;14,2;91;87;88;36;0;0;
2022/01/01;0700 UTC;0;902,6;902,7;902,5;;16,3;14,2;16,7;16,2;14,7;14,1;89;87;87;29;0;0;
2022/01/01;0800 UTC;0;903;903;902,6;;15,5;13,9;16,3;15,3;14,2;13,6;91;87;90;55;0;0;
2022/01/01;0900 UTC;0;903,8;903,8;903;35,8;16,4;14;16,5;15,3;14,2;13,7;91;86;86;28;0;0;
2022/01/01;1000 UTC;0;904,2;904,2;903,8;410,6;18,4;14,7;18,4;16,4;14,9;14;86;78;79;47;0;0;
2022/01/01;1100 UTC;0;904,6;904,6;904,2;1218,4;20,4;15,3;20,4;18,4;15,3;14,4;79;71;72;357;0;0;
2022/01/01;1200 UTC;0;904,7;904,7;904,6;1902,9;22,8;15,1;22,8;20,1;15,7;14,5;72;62;62;333;0;0;
2022/01/01;1300 UTC;0;904,4;904,7;904,4;2492,3;25,7;14,2;25,7;22,5;15,5;13,7;63;49;49;29;0;0;
2022/01/01;1400 UTC;0;903,9;904,4;903,9;2947,4;27,6;10;27,8;25,4;14,6;10;49;33;33;332;0;0;
2022/01/01;1500 UTC;0;903,6;904;903,6;2689,7;28,4;9,9;30,1;27,4;11,5;9,1;36;29;32;305;5,1;1,5;
2022/01/01;1600 UTC;0;902,9;903,6;902,9;3478,2;30,7;9,3;30,8;28,4;11;8,6;33;26;26;15;4,5;0;
2022/01/01;1700 UTC;0;902,3;902,9;902,3;1305,2;29,1;8,3;30,9;28,8;9,5;8,2;29;25;27;126;0;0;
2022/01/01;1800 UTC;0;901,6;902,3;901,6;1413,5;31,1;9,9;31,2;28,9;9,9;8,3;29;26;27;59;0;0;
2022/01/01;1900 UTC;0;901,2;901,6;901,2;2264,3;30,5;9;32,4;30,3;10,7;8,2;28;24;26;108;0;0;
2022/01/01;2000 UTC;0;900,6;901,2;900,6;1666,4;31,3;9,3;32,3;30,2;10;8,4;28;24;26;85;0;0;
2022/01/01;2100 UTC;0;900,6;900,6;900,5;964,3;30,8;8,3;32,4;30,7;9,6;8,2;26;24;25;36;0;0;
2022/01/01;2200 UTC;0;901,5;901,5;900,6;246,8;27,5;12,2;30,9;27,5;12,4;7,4;39;23;39;56;0;0;
2022/01/01;2300 UTC;0;902,4;902,4;901,5;;24,9;12,6;27,6;24,9;12,7;12;46;38;46;71;0;0;
2022/01/02;0000 UTC;0;903,3;903,3;902,4;;23,4;13,3;24,9;23,1;13,7;12,6;55;46;53;352;0;0;
2022/01/02;0100 UTC;0;904,1;904,1;903,3;;23,2;13,1;23,8;22,9;13,4;13;54;52;53;7;0;0;
2022/01/02;0200 UTC;0;904,8;904,8;904,1;;21,2;13,5;23,2;20,5;13,5;13,1;64;53;61;79;0;0;
2022/01/02;0300 UTC;0;905;905,1;904,8;;21,7;15,2;21,9;20,8;15,2;13,1;66;58;66;42;0;0;
2022/01/02;0400 UTC;0;904,4;905;904,4;;21,2;16;21,8;21;16,1;15,3;73;66;72;56;0;0;
2022/01/02;0500 UTC;0;904,1;904,4;903,9;;20,6;15,9;21,3;20,5;16;15,8;75;72;75;20;0;0;
2022/01/02;0600 UTC;0;904,7;904,7;904,1;;19,8;15,6;20,6;19,8;15,9;15,6;77;74;77;23;0;0;
2022/01/02;0700 UTC;0;905,1;905,1;904,6;;18,9;15,5;19,8;18,8;15,6;15,3;81;77;80;42;0;0;
2022/01/02;0800 UTC;0;905,3;905,3;905;;18;15,4;18,9;18;15,6;15,4;85;80;85;52;0;0;
2022/01/02;0900 UTC;0;905,2;905,4;905,1;56,3;18,8;16,2;18,8;17,6;16,2;15,1;87;85;85;27;0;0;
2022/01/02;1000 UTC;0;905,9;905,9;905,2;500,2;20,8;17;20,8;18,8;17,1;16,1;85;78;79;3;0;0;
2022/01/02;1100 UTC;0;906;906,2;905,9;1238,6;23,6;17,6;23,6;20,8;17,8;16,9;79;69;69;7;0;0;
2022/01/02;1200 UTC;0;906,4;906,4;905,9;1864,6;25,5;17;25,9;23,4;18;16,9;69;59;59;335;6,6;2;
2022/01/02;1300 UTC;0;906,1;906,4;906,1;2482,6;27,2;17,3;27,6;25,1;18,1;16,6;61;54;55;6;6,6;2,1;
2022/01/02;1400 UTC;0;905,9;906,3;905,9;3056,4;29,3;15,2;30,1;26,8;17,9;15,2;56;41;42;18;6,5;1,9;
2022/01/02;1500 UTC;0;905,4;905,9;905,4;2699,5;29,4;12,8;31,3;28,5;16,1;10,8;45;29;36;304;8,7;1,6;
2022/01/02;1600 UTC;0;905,1;905,7;905,1;1192,6;28,7;14,3;29,6;25,8;16,7;12,6;57;35;41;333;7,5;,6;
2022/01/02;1700 UTC;,6;904,9;905,7;904,9;789;22;14,8;28,7;20,7;18,5;13,5;73;40;64;281;12,5;5,7;
2022/01/02;1800 UTC;0;904,7;904,9;904,3;832,8;24,4;15,6;24,4;21,9;17;14,3;72;58;58;175;11,4;2,4;
2022/01/02;1900 UTC;0;904,4;904,7;904,3;924,5;23,8;18,4;24,9;23,3;18,4;15,1;72;55;72;300;4,5;1;
2022/01/02;2000 UTC;0;903,2;904,4;903,2;1579,9;26,7;15,5;27,4;23,8;18,8;15,2;72;49;50;127;6,2;2,4;
2022/01/02;2100 UTC;0;903,2;903,3;903;842,8;27,1;14,6;27,7;26,7;16,2;14,2;51;45;46;85;4,4;1,2;
2022/01/02;2200 UTC;0;903,8;903,8;903,2;134,9;24,3;14,5;27,2;24,3;15,8;13,8;57;45;55;171;4;0;
2022/01/02;2300 UTC;0;904,7;904,7;903,8;;21,8;15,2;24,5;21,8;16,1;14,2;66;53;66;89;2,4;,8;
2022/01/03;0000 UTC;0;905,5;905,5;904,7;;21,2;15,1;22,1;20,6;15,4;15;71;64;68;64;2,4;0;
2022/01/03;0100 UTC;0;906,2;906,2;905,4;;19,8;15,2;21,2;19,6;15,4;14,9;75;68;75;125;0;0;
2022/01/03;0200 UTC;0;906,2;906,4;906,1;;19,3;14,9;20,4;19,1;15,7;14,9;77;73;76;88;0;0;
2022/01/03;0300 UTC;0;906;906,3;906;;18,3;15,2;19,3;18,3;15,7;14,9;82;76;82;41;0;0;
2022/01/03;0400 UTC;0;905,5;906;905,4;;19,1;15,7;19,2;18;15,8;14,9;84;80;81;153;0;0;
