REGIAO:;S
UF:;SC
ESTACAO:;RIO NEGRINHO
CODIGO (WMO):;A862
LATITUDE:;-26,2486111
LONGITUDE:;-49,57416666
ALTITUDE:;800
DATA DE FUNDACAO:;22/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;913,4;913,4;912,6;;18,5;18;18,9;18,5;18,1;18;97;95;97;141;4,1;1,6;
2022/01/01;0100 UTC;0;913,8;913,8;913,3;;18,2;18;18,5;18,2;18;17,9;98;97;98;110;3,9;0;
2022/01/01;0200 UTC;0;913,6;913,8;913,6;;17,8;17,5;18,2;17,8;18;17,5;99;98;98;136;3,4;1,4;
2022/01/01;0300 UTC;0;913,1;913,6;913,1;;17,1;17;17,8;16,9;17,5;16,7;100;98;100;79;3,2;0;
2022/01/01;0400 UTC;0;912,6;913,1;912,6;;16,4;16,4;17,2;16,4;17,1;16,4;100;99;100;220;1;0;
2022/01/01;0500 UTC;0;912,2;912,6;912,2;;16,5;16,5;16,7;16;16,7;16;100;100;100;234;1,4;,2;
2022/01/01;0600 UTC;0;912;912,2;912;;15,9;15,9;16,6;15,8;16,5;15,8;100;100;100;286;1,8;0;
2022/01/01;0700 UTC;,2;912;912,1;911,9;;15,7;15,7;15,9;14,9;15,7;14,9;100;100;100;272;1,2;,1;
2022/01/01;0800 UTC;0;912,4;912,4;912;;16,2;16,2;16,2;15,7;16,2;15,8;100;100;100;308;2;0;
2022/01/01;0900 UTC;0;913;913;912,4;23,5;16,2;16,2;16,2;16;16,2;16;100;100;100;266;2,8;,6;
2022/01/01;1000 UTC;0;913,7;913,7;913;275,5;17,1;17,1;17,1;16,2;17,1;16,2;100;100;100;269;3,3;1,1;
2022/01/01;1100 UTC;0;914,4;914,4;913,7;652,2;17,8;17;17,8;17,1;17,7;16,7;100;94;95;314;5,9;2,2;
2022/01/01;1200 UTC;0;914,6;914,7;914,3;670,4;17,8;17;17,9;17,4;17,1;16,4;95;93;95;298;5,5;1,2;
2022/01/01;1300 UTC;0;914,6;914,7;914,5;1961,9;20,1;17,1;20,9;17,7;18,3;16,6;95;80;83;357;6;2,8;
2022/01/01;1400 UTC;0;914,2;914,7;914,2;2392,1;22,5;17,5;22,9;20,1;18,6;17,1;85;73;74;352;5,1;1,4;
2022/01/01;1500 UTC;0;913,8;914,2;913,8;3444,7;24;18,2;25,2;22,2;19,4;17,4;78;66;70;16;5;1,5;
2022/01/01;1600 UTC;0;913,4;913,8;913,4;4138,2;26,2;18;26,5;23,8;19,5;16,9;71;58;61;354;5;1,7;
2022/01/01;1700 UTC;0;912,6;913,4;912,6;3839,1;27,7;15,8;28,1;26,3;18,7;15,2;61;46;48;210;4,8;,7;
2022/01/01;1800 UTC;0;911,8;912,6;911,8;2629,8;29;14,9;29,8;27,4;16,9;14,6;50;42;42;203;3,9;1,1;
